COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE,PARTY
POTTER,Harvey Hilderbran,2418,6534,37,Comptroller,Republican
PRESIDIO,Harvey Hilderbran,2,14,14,Comptroller,Republican
RAINS,Harvey Hilderbran,191,1097,17,Comptroller,Republican
RANDALL,Harvey Hilderbran,3717,12591,30,Comptroller,Republican
REAGAN,Harvey Hilderbran,127,259,49,Comptroller,Republican
REAL,Harvey Hilderbran,477,873,55,Comptroller,Republican
RED RIVER,Harvey Hilderbran,272,1254,22,Comptroller,Republican
REEVES,Harvey Hilderbran,0,0,0,Comptroller,Republican
REFUGIO,Harvey Hilderbran,108,551,20,Comptroller,Republican
ROBERTS,Harvey Hilderbran,83,259,32,Comptroller,Republican
ROBERTSON,Harvey Hilderbran,359,1173,31,Comptroller,Republican
ROCKWALL,Harvey Hilderbran,1662,7182,23,Comptroller,Republican
RUNNELS,Harvey Hilderbran,923,1536,60,Comptroller,Republican
RUSK,Harvey Hilderbran,1447,4111,35,Comptroller,Republican
SABINE,Harvey Hilderbran,267,1463,18,Comptroller,Republican
SAN AUGUSTINE,Harvey Hilderbran,157,666,24,Comptroller,Republican
SAN JACINTO,Harvey Hilderbran,534,2310,23,Comptroller,Republican
SAN PATRICIO,Harvey Hilderbran,921,2603,35,Comptroller,Republican
SAN SABA,Harvey Hilderbran,395,883,45,Comptroller,Republican
SCHLEICHER,Harvey Hilderbran,297,418,71,Comptroller,Republican
SCURRY,Harvey Hilderbran,744,1530,49,Comptroller,Republican
SHACKELFORD,Harvey Hilderbran,117,415,28,Comptroller,Republican
SHELBY,Harvey Hilderbran,690,2422,28,Comptroller,Republican
SHERMAN,Harvey Hilderbran,98,324,30,Comptroller,Republican
SMITH,Harvey Hilderbran,4914,19093,26,Comptroller,Republican
SOMERVELL,Harvey Hilderbran,267,1394,19,Comptroller,Republican
STARR,Harvey Hilderbran,0,0,0,Comptroller,Republican
STEPHENS,Harvey Hilderbran,468,1616,29,Comptroller,Republican
STERLING,Harvey Hilderbran,170,325,52,Comptroller,Republican
STONEWALL,Harvey Hilderbran,16,47,34,Comptroller,Republican
SUTTON,Harvey Hilderbran,389,629,62,Comptroller,Republican
SWISHER,Harvey Hilderbran,136,394,35,Comptroller,Republican
TARRANT,Harvey Hilderbran,11644,86205,14,Comptroller,Republican
TAYLOR,Harvey Hilderbran,3639,11304,32,Comptroller,Republican
TERRELL,Harvey Hilderbran,32,96,33,Comptroller,Republican
TERRY,Harvey Hilderbran,529,1536,34,Comptroller,Republican
THROCKMORTON,Harvey Hilderbran,108,290,37,Comptroller,Republican
TITUS,Harvey Hilderbran,431,1494,29,Comptroller,Republican
TOM GREEN,Harvey Hilderbran,4306,7622,56,Comptroller,Republican
TRAVIS,Harvey Hilderbran,8099,30261,27,Comptroller,Republican
TRINITY,Harvey Hilderbran,483,2007,24,Comptroller,Republican
TYLER,Harvey Hilderbran,582,2090,28,Comptroller,Republican
UPSHUR,Harvey Hilderbran,859,3572,24,Comptroller,Republican
UPTON,Harvey Hilderbran,38,107,36,Comptroller,Republican
UVALDE,Harvey Hilderbran,889,1334,67,Comptroller,Republican
VAL VERDE,Harvey Hilderbran,454,1052,43,Comptroller,Republican
VAN ZANDT,Harvey Hilderbran,898,5554,16,Comptroller,Republican
VICTORIA,Harvey Hilderbran,835,6037,14,Comptroller,Republican
WALKER,Harvey Hilderbran,1136,4513,25,Comptroller,Republican
WALLER,Harvey Hilderbran,397,3823,10,Comptroller,Republican
WARD,Harvey Hilderbran,205,609,34,Comptroller,Republican
WASHINGTON,Harvey Hilderbran,718,4199,17,Comptroller,Republican
WEBB,Harvey Hilderbran,169,1098,15,Comptroller,Republican
WHARTON,Harvey Hilderbran,268,3674,7,Comptroller,Republican
WHEELER,Harvey Hilderbran,203,610,33,Comptroller,Republican
WICHITA,Harvey Hilderbran,2976,6985,43,Comptroller,Republican
WILBARGER,Harvey Hilderbran,314,720,44,Comptroller,Republican
WILLACY,Harvey Hilderbran,43,121,36,Comptroller,Republican
WILLIAMSON,Harvey Hilderbran,4838,22121,22,Comptroller,Republican
WILSON,Harvey Hilderbran,1256,3551,35,Comptroller,Republican
WINKLER,Harvey Hilderbran,244,719,34,Comptroller,Republican
WISE,Harvey Hilderbran,1003,5169,19,Comptroller,Republican
WOOD,Harvey Hilderbran,1295,4599,28,Comptroller,Republican
YOAKUM,Harvey Hilderbran,220,782,28,Comptroller,Republican
YOUNG,Harvey Hilderbran,730,1881,39,Comptroller,Republican
ZAPATA,Harvey Hilderbran,0,0,0,Comptroller,Republican
ZAVALA,Harvey Hilderbran,0,0,0,Comptroller,Republican
ANDERSON,Sid Miller,1177,5220,23,Agriculture Commissioner,Republican
ANDREWS,Sid Miller,368,1168,32,Agriculture Commissioner,Republican
ANGELINA,Sid Miller,2726,7313,37,Agriculture Commissioner,Republican
ARANSAS,Sid Miller,598,2603,23,Agriculture Commissioner,Republican
ARCHER,Sid Miller,284,1076,26,Agriculture Commissioner,Republican
ARMSTRONG,Sid Miller,139,462,30,Agriculture Commissioner,Republican
ATASCOSA,Sid Miller,293,1502,20,Agriculture Commissioner,Republican
AUSTIN,Sid Miller,762,3187,24,Agriculture Commissioner,Republican
BAILEY,Sid Miller,187,431,43,Agriculture Commissioner,Republican
BANDERA,Sid Miller,703,2605,27,Agriculture Commissioner,Republican
BASTROP,Sid Miller,1202,3998,30,Agriculture Commissioner,Republican
BAYLOR,Sid Miller,149,431,35,Agriculture Commissioner,Republican
BEE,Sid Miller,217,1167,19,Agriculture Commissioner,Republican
BELL,Sid Miller,4659,11894,39,Agriculture Commissioner,Republican
BEXAR,Sid Miller,17880,57167,31,Agriculture Commissioner,Republican
BLANCO,Sid Miller,417,1361,31,Agriculture Commissioner,Republican
BORDEN,Sid Miller,76,180,42,Agriculture Commissioner,Republican
BOSQUE,Sid Miller,896,2305,39,Agriculture Commissioner,Republican
BOWIE,Sid Miller,1424,7148,20,Agriculture Commissioner,Republican
BRAZORIA,Sid Miller,5843,16530,35,Agriculture Commissioner,Republican
BRAZOS,Sid Miller,2069,9300,22,Agriculture Commissioner,Republican
BREWSTER,Sid Miller,108,431,25,Agriculture Commissioner,Republican
BRISCOE,Sid Miller,80,292,27,Agriculture Commissioner,Republican
BROOKS,Sid Miller,0,0,0,Agriculture Commissioner,Republican
BROWN,Sid Miller,2200,5280,42,Agriculture Commissioner,Republican
BURLESON,Sid Miller,280,1000,28,Agriculture Commissioner,Republican
BURNET,Sid Miller,1543,4938,31,Agriculture Commissioner,Republican
CALDWELL,Sid Miller,280,1079,26,Agriculture Commissioner,Republican
CALHOUN,Sid Miller,213,886,24,Agriculture Commissioner,Republican
CALLAHAN,Sid Miller,585,1480,40,Agriculture Commissioner,Republican
CAMERON,Sid Miller,977,3428,29,Agriculture Commissioner,Republican
CAMP,Sid Miller,267,892,30,Agriculture Commissioner,Republican
CARSON,Sid Miller,270,894,30,Agriculture Commissioner,Republican
CASS,Sid Miller,667,2986,22,Agriculture Commissioner,Republican
CASTRO,Sid Miller,160,576,28,Agriculture Commissioner,Republican
CHAMBERS,Sid Miller,940,3546,27,Agriculture Commissioner,Republican
CHEROKEE,Sid Miller,1093,4578,24,Agriculture Commissioner,Republican
CHILDRESS,Sid Miller,156,705,22,Agriculture Commissioner,Republican
CLAY,Sid Miller,343,1201,29,Agriculture Commissioner,Republican
COCHRAN,Sid Miller,140,549,26,Agriculture Commissioner,Republican
COKE,Sid Miller,129,416,31,Agriculture Commissioner,Republican
COLEMAN,Sid Miller,453,1300,35,Agriculture Commissioner,Republican
COLLIN,Sid Miller,18315,39194,47,Agriculture Commissioner,Republican
COLLINGSWORTH,Sid Miller,55,211,26,Agriculture Commissioner,Republican
COLORADO,Sid Miller,485,2089,23,Agriculture Commissioner,Republican
COMAL,Sid Miller,4574,13124,35,Agriculture Commissioner,Republican
COMANCHE,Sid Miller,954,1690,56,Agriculture Commissioner,Republican
CONCHO,Sid Miller,93,338,28,Agriculture Commissioner,Republican
COOKE,Sid Miller,1186,4102,29,Agriculture Commissioner,Republican
CORYELL,Sid Miller,2072,3659,57,Agriculture Commissioner,Republican
COTTLE,Sid Miller,44,231,19,Agriculture Commissioner,Republican
CRANE,Sid Miller,140,487,29,Agriculture Commissioner,Republican
CROCKETT,Sid Miller,13,55,24,Agriculture Commissioner,Republican
CROSBY,Sid Miller,78,251,31,Agriculture Commissioner,Republican
CULBERSON,Sid Miller,7,19,37,Agriculture Commissioner,Republican
DALLAM,Sid Miller,116,397,29,Agriculture Commissioner,Republican
DALLAS,Sid Miller,27497,73050,38,Agriculture Commissioner,Republican
DAWSON,Sid Miller,340,1334,25,Agriculture Commissioner,Republican
DEAF SMITH,Sid Miller,451,1809,25,Agriculture Commissioner,Republican
DELTA,Sid Miller,190,843,23,Agriculture Commissioner,Republican
DENTON,Sid Miller,13779,34591,40,Agriculture Commissioner,Republican
DE WITT,Sid Miller,340,1325,26,Agriculture Commissioner,Republican
DICKENS,Sid Miller,98,421,23,Agriculture Commissioner,Republican
DIMMIT,Sid Miller,5,30,17,Agriculture Commissioner,Republican
DONLEY,Sid Miller,181,660,27,Agriculture Commissioner,Republican
DUVAL,Sid Miller,0,0,0,Agriculture Commissioner,Republican
EASTLAND,Sid Miller,1051,2331,45,Agriculture Commissioner,Republican
ECTOR,Sid Miller,1741,6969,25,Agriculture Commissioner,Republican
EDWARDS,Sid Miller,65,278,23,Agriculture Commissioner,Republican
ELLIS,Sid Miller,3016,11941,25,Agriculture Commissioner,Republican
EL PASO,Sid Miller,2892,8920,32,Agriculture Commissioner,Republican
ERATH,Sid Miller,2461,3732,66,Agriculture Commissioner,Republican
FALLS,Sid Miller,410,911,45,Agriculture Commissioner,Republican
FANNIN,Sid Miller,649,2329,28,Agriculture Commissioner,Republican
FAYETTE,Sid Miller,709,3247,22,Agriculture Commissioner,Republican
FISHER,Sid Miller,74,212,35,Agriculture Commissioner,Republican
FLOYD,Sid Miller,288,850,34,Agriculture Commissioner,Republican
FOARD,Sid Miller,0,0,0,Agriculture Commissioner,Republican
FORT BEND,Sid Miller,9589,25232,38,Agriculture Commissioner,Republican
FRANKLIN,Sid Miller,290,1311,22,Agriculture Commissioner,Republican
FREESTONE,Sid Miller,694,2008,35,Agriculture Commissioner,Republican
FRIO,Sid Miller,0,0,0,Agriculture Commissioner,Republican
GAINES,Sid Miller,361,1279,28,Agriculture Commissioner,Republican
GALVESTON,Sid Miller,4741,15908,30,Agriculture Commissioner,Republican
GARZA,Sid Miller,189,496,38,Agriculture Commissioner,Republican
GILLESPIE,Sid Miller,1348,3484,39,Agriculture Commissioner,Republican
GLASSCOCK,Sid Miller,59,195,30,Agriculture Commissioner,Republican
GOLIAD,Sid Miller,153,823,19,Agriculture Commissioner,Republican
GONZALES,Sid Miller,285,1441,20,Agriculture Commissioner,Republican
GRAY,Sid Miller,646,1887,34,Agriculture Commissioner,Republican
GRAYSON,Sid Miller,2360,9006,26,Agriculture Commissioner,Republican
GREGG,Sid Miller,2401,7621,32,Agriculture Commissioner,Republican
GRIMES,Sid Miller,311,1494,21,Agriculture Commissioner,Republican
GUADALUPE,Sid Miller,2356,10039,23,Agriculture Commissioner,Republican
HALE,Sid Miller,648,2176,30,Agriculture Commissioner,Republican
HALL,Sid Miller,44,183,24,Agriculture Commissioner,Republican
HAMILTON,Sid Miller,587,1227,48,Agriculture Commissioner,Republican
HANSFORD,Sid Miller,182,866,21,Agriculture Commissioner,Republican
HARDEMAN,Sid Miller,50,155,32,Agriculture Commissioner,Republican
HARDIN,Sid Miller,1435,6091,24,Agriculture Commissioner,Republican
HARRIS,Sid Miller,48410,123771,39,Agriculture Commissioner,Republican
HARRISON,Sid Miller,1093,4692,23,Agriculture Commissioner,Republican
HARTLEY,Sid Miller,211,764,28,Agriculture Commissioner,Republican
HASKELL,Sid Miller,127,235,54,Agriculture Commissioner,Republican
HAYS,Sid Miller,2293,7262,32,Agriculture Commissioner,Republican
HEMPHILL,Sid Miller,139,440,32,Agriculture Commissioner,Republican
HENDERSON,Sid Miller,2399,7686,31,Agriculture Commissioner,Republican
HIDALGO,Sid Miller,1345,5230,26,Agriculture Commissioner,Republican
HILL,Sid Miller,1287,5054,25,Agriculture Commissioner,Republican
HOCKLEY,Sid Miller,495,1584,31,Agriculture Commissioner,Republican
HOOD,Sid Miller,2380,7107,33,Agriculture Commissioner,Republican
HOPKINS,Sid Miller,729,2726,27,Agriculture Commissioner,Republican
HOUSTON,Sid Miller,526,1586,33,Agriculture Commissioner,Republican
HOWARD,Sid Miller,803,2605,31,Agriculture Commissioner,Republican
HUDSPETH,Sid Miller,0,0,0,Agriculture Commissioner,Republican
HUNT,Sid Miller,1953,6850,29,Agriculture Commissioner,Republican
HUTCHINSON,Sid Miller,629,2135,29,Agriculture Commissioner,Republican
IRION,Sid Miller,76,207,37,Agriculture Commissioner,Republican
JACK,Sid Miller,228,787,29,Agriculture Commissioner,Republican
JACKSON,Sid Miller,239,1098,22,Agriculture Commissioner,Republican
JASPER,Sid Miller,549,2012,27,Agriculture Commissioner,Republican
JEFF DAVIS,Sid Miller,78,199,39,Agriculture Commissioner,Republican
JEFFERSON,Sid Miller,3741,8938,42,Agriculture Commissioner,Republican
JIM HOGG,Sid Miller,1,9,11,Agriculture Commissioner,Republican
JIM WELLS,Sid Miller,129,517,25,Agriculture Commissioner,Republican
JOHNSON,Sid Miller,4048,10641,38,Agriculture Commissioner,Republican
JONES,Sid Miller,550,1502,37,Agriculture Commissioner,Republican
KARNES,Sid Miller,38,338,11,Agriculture Commissioner,Republican
KAUFMAN,Sid Miller,3277,8196,40,Agriculture Commissioner,Republican
KENDALL,Sid Miller,1505,5224,29,Agriculture Commissioner,Republican
KENEDY,Sid Miller,2,14,14,Agriculture Commissioner,Republican
KENT,Sid Miller,38,95,40,Agriculture Commissioner,Republican
KERR,Sid Miller,1795,7364,24,Agriculture Commissioner,Republican
KIMBLE,Sid Miller,186,901,21,Agriculture Commissioner,Republican
KING,Sid Miller,23,48,48,Agriculture Commissioner,Republican
KINNEY,Sid Miller,44,275,16,Agriculture Commissioner,Republican
KLEBERG,Sid Miller,153,780,20,Agriculture Commissioner,Republican
KNOX,Sid Miller,107,391,27,Agriculture Commissioner,Republican
LAMAR,Sid Miller,1176,4662,25,Agriculture Commissioner,Republican
LAMB,Sid Miller,352,1207,29,Agriculture Commissioner,Republican
LAMPASAS,Sid Miller,1213,2220,55,Agriculture Commissioner,Republican
LA SALLE,Sid Miller,0,7,0,Agriculture Commissioner,Republican
LAVACA,Sid Miller,490,2129,23,Agriculture Commissioner,Republican
LEE,Sid Miller,261,949,28,Agriculture Commissioner,Republican
LEON,Sid Miller,662,2309,29,Agriculture Commissioner,Republican
LIBERTY,Sid Miller,1521,5901,26,Agriculture Commissioner,Republican
LIMESTONE,Sid Miller,503,2012,25,Agriculture Commissioner,Republican
LIPSCOMB,Sid Miller,151,545,28,Agriculture Commissioner,Republican
LIVE OAK,Sid Miller,207,742,28,Agriculture Commissioner,Republican
LLANO,Sid Miller,1216,3464,35,Agriculture Commissioner,Republican
LOVING,Sid Miller,1,7,14,Agriculture Commissioner,Republican
LUBBOCK,Sid Miller,7252,20681,35,Agriculture Commissioner,Republican
LYNN,Sid Miller,239,893,27,Agriculture Commissioner,Republican
MADISON,Sid Miller,511,1495,34,Agriculture Commissioner,Republican
MARION,Sid Miller,156,607,26,Agriculture Commissioner,Republican
MARTIN,Sid Miller,152,653,23,Agriculture Commissioner,Republican
MASON,Sid Miller,273,902,30,Agriculture Commissioner,Republican
MATAGORDA,Sid Miller,379,1584,24,Agriculture Commissioner,Republican
MAVERICK,Sid Miller,20,74,27,Agriculture Commissioner,Republican
MCCULLOCH,Sid Miller,824,1485,55,Agriculture Commissioner,Republican
MCLENNAN,Sid Miller,4019,10163,40,Agriculture Commissioner,Republican
MCMULLEN,Sid Miller,18,135,13,Agriculture Commissioner,Republican
MEDINA,Sid Miller,787,3748,21,Agriculture Commissioner,Republican
MENARD,Sid Miller,110,415,27,Agriculture Commissioner,Republican
MIDLAND,Sid Miller,3102,10792,29,Agriculture Commissioner,Republican
MILAM,Sid Miller,656,2104,31,Agriculture Commissioner,Republican
MILLS,Sid Miller,423,737,57,Agriculture Commissioner,Republican
MITCHELL,Sid Miller,159,624,25,Agriculture Commissioner,Republican
MONTAGUE,Sid Miller,758,2427,31,Agriculture Commissioner,Republican
MONTGOMERY,Sid Miller,20838,38584,54,Agriculture Commissioner,Republican
MOORE,Sid Miller,299,1218,25,Agriculture Commissioner,Republican
MORRIS,Sid Miller,145,552,26,Agriculture Commissioner,Republican
MOTLEY,Sid Miller,69,171,40,Agriculture Commissioner,Republican
NACOGDOCHES,Sid Miller,1086,4735,23,Agriculture Commissioner,Republican
NAVARRO,Sid Miller,1021,3889,26,Agriculture Commissioner,Republican
NEWTON,Sid Miller,141,420,34,Agriculture Commissioner,Republican
NOLAN,Sid Miller,319,919,35,Agriculture Commissioner,Republican
NUECES,Sid Miller,2621,10848,24,Agriculture Commissioner,Republican
OCHILTREE,Sid Miller,231,846,27,Agriculture Commissioner,Republican
OLDHAM,Sid Miller,108,354,31,Agriculture Commissioner,Republican
ORANGE,Sid Miller,1758,6886,26,Agriculture Commissioner,Republican
PALO PINTO,Sid Miller,823,2706,30,Agriculture Commissioner,Republican
PANOLA,Sid Miller,755,3059,25,Agriculture Commissioner,Republican
PARKER,Sid Miller,4594,11730,39,Agriculture Commissioner,Republican
PARMER,Sid Miller,221,774,29,Agriculture Commissioner,Republican
PECOS,Sid Miller,165,539,31,Agriculture Commissioner,Republican
POLK,Sid Miller,1219,4893,25,Agriculture Commissioner,Republican
POTTER,Sid Miller,1781,6301,28,Agriculture Commissioner,Republican
PRESIDIO,Sid Miller,3,13,23,Agriculture Commissioner,Republican
RAINS,Sid Miller,328,1074,31,Agriculture Commissioner,Republican
RANDALL,Sid Miller,3459,12220,28,Agriculture Commissioner,Republican
REAGAN,Sid Miller,55,239,23,Agriculture Commissioner,Republican
REAL,Sid Miller,154,807,19,Agriculture Commissioner,Republican
RED RIVER,Sid Miller,297,1274,23,Agriculture Commissioner,Republican
REEVES,Sid Miller,0,0,0,Agriculture Commissioner,Republican
REFUGIO,Sid Miller,88,508,17,Agriculture Commissioner,Republican
ROBERTS,Sid Miller,68,258,26,Agriculture Commissioner,Republican
ROBERTSON,Sid Miller,316,1097,29,Agriculture Commissioner,Republican
ROCKWALL,Sid Miller,2380,7070,34,Agriculture Commissioner,Republican
RUNNELS,Sid Miller,402,1417,28,Agriculture Commissioner,Republican
RUSK,Sid Miller,1068,4352,25,Agriculture Commissioner,Republican
SABINE,Sid Miller,405,1423,28,Agriculture Commissioner,Republican
SAN AUGUSTINE,Sid Miller,200,616,32,Agriculture Commissioner,Republican
SAN JACINTO,Sid Miller,670,2287,29,Agriculture Commissioner,Republican
SAN PATRICIO,Sid Miller,622,2551,24,Agriculture Commissioner,Republican
SAN SABA,Sid Miller,548,871,63,Agriculture Commissioner,Republican
SCHLEICHER,Sid Miller,114,367,31,Agriculture Commissioner,Republican
SCURRY,Sid Miller,421,1493,28,Agriculture Commissioner,Republican
SHACKELFORD,Sid Miller,173,403,43,Agriculture Commissioner,Republican
SHELBY,Sid Miller,568,2430,23,Agriculture Commissioner,Republican
SHERMAN,Sid Miller,50,323,15,Agriculture Commissioner,Republican
SMITH,Sid Miller,6555,19379,34,Agriculture Commissioner,Republican
SOMERVELL,Sid Miller,876,1531,57,Agriculture Commissioner,Republican
STARR,Sid Miller,0,0,0,Agriculture Commissioner,Republican
STEPHENS,Sid Miller,450,1574,29,Agriculture Commissioner,Republican
STERLING,Sid Miller,61,305,20,Agriculture Commissioner,Republican
STONEWALL,Sid Miller,24,46,52,Agriculture Commissioner,Republican
SUTTON,Sid Miller,157,566,28,Agriculture Commissioner,Republican
SWISHER,Sid Miller,140,391,36,Agriculture Commissioner,Republican
TARRANT,Sid Miller,38693,83738,46,Agriculture Commissioner,Republican
TAYLOR,Sid Miller,3204,10754,30,Agriculture Commissioner,Republican
TERRELL,Sid Miller,18,87,21,Agriculture Commissioner,Republican
TERRY,Sid Miller,418,1441,29,Agriculture Commissioner,Republican
THROCKMORTON,Sid Miller,80,303,26,Agriculture Commissioner,Republican
TITUS,Sid Miller,357,1551,23,Agriculture Commissioner,Republican
TOM GREEN,Sid Miller,1798,7280,25,Agriculture Commissioner,Republican
TRAVIS,Sid Miller,8593,28174,30,Agriculture Commissioner,Republican
TRINITY,Sid Miller,434,1995,22,Agriculture Commissioner,Republican
TYLER,Sid Miller,420,2061,20,Agriculture Commissioner,Republican
UPSHUR,Sid Miller,990,3779,26,Agriculture Commissioner,Republican
UPTON,Sid Miller,24,103,23,Agriculture Commissioner,Republican
UVALDE,Sid Miller,215,1344,16,Agriculture Commissioner,Republican
VAL VERDE,Sid Miller,296,1041,28,Agriculture Commissioner,Republican
VAN ZANDT,Sid Miller,1780,5611,32,Agriculture Commissioner,Republican
VICTORIA,Sid Miller,1104,5309,21,Agriculture Commissioner,Republican
WALKER,Sid Miller,1377,4436,31,Agriculture Commissioner,Republican
WALLER,Sid Miller,964,3355,29,Agriculture Commissioner,Republican
WARD,Sid Miller,176,572,31,Agriculture Commissioner,Republican
WASHINGTON,Sid Miller,936,3757,25,Agriculture Commissioner,Republican
WEBB,Sid Miller,172,1066,16,Agriculture Commissioner,Republican
WHARTON,Sid Miller,765,3306,23,Agriculture Commissioner,Republican
WHEELER,Sid Miller,205,593,35,Agriculture Commissioner,Republican
WICHITA,Sid Miller,1887,6778,28,Agriculture Commissioner,Republican
WILBARGER,Sid Miller,209,712,29,Agriculture Commissioner,Republican
WILLACY,Sid Miller,35,117,30,Agriculture Commissioner,Republican
WILLIAMSON,Sid Miller,6424,21087,30,Agriculture Commissioner,Republican
WILSON,Sid Miller,641,3578,18,Agriculture Commissioner,Republican
WINKLER,Sid Miller,171,676,25,Agriculture Commissioner,Republican
WISE,Sid Miller,1457,5174,28,Agriculture Commissioner,Republican
WOOD,Sid Miller,1541,4550,34,Agriculture Commissioner,Republican
YOAKUM,Sid Miller,221,754,29,Agriculture Commissioner,Republican
YOUNG,Sid Miller,554,1819,30,Agriculture Commissioner,Republican
ZAPATA,Sid Miller,0,0,0,Agriculture Commissioner,Republican
ZAVALA,Sid Miller,0,0,0,Agriculture Commissioner,Republican
ANDERSON,Tommy Merritt,1447,5220,28,Agriculture Commissioner,Republican
ANDREWS,Tommy Merritt,242,1168,21,Agriculture Commissioner,Republican
ANGELINA,Tommy Merritt,1467,7313,20,Agriculture Commissioner,Republican
ARANSAS,Tommy Merritt,489,2603,19,Agriculture Commissioner,Republican
ARCHER,Tommy Merritt,217,1076,20,Agriculture Commissioner,Republican
ARMSTRONG,Tommy Merritt,103,462,22,Agriculture Commissioner,Republican
ATASCOSA,Tommy Merritt,187,1502,12,Agriculture Commissioner,Republican
AUSTIN,Tommy Merritt,520,3187,16,Agriculture Commissioner,Republican
BAILEY,Tommy Merritt,97,431,23,Agriculture Commissioner,Republican
BANDERA,Tommy Merritt,678,2605,26,Agriculture Commissioner,Republican
BASTROP,Tommy Merritt,630,3998,16,Agriculture Commissioner,Republican
BAYLOR,Tommy Merritt,73,431,17,Agriculture Commissioner,Republican
BEE,Tommy Merritt,119,1167,10,Agriculture Commissioner,Republican
BELL,Tommy Merritt,2621,11894,22,Agriculture Commissioner,Republican
BEXAR,Tommy Merritt,12255,57167,21,Agriculture Commissioner,Republican
BLANCO,Tommy Merritt,314,1361,23,Agriculture Commissioner,Republican
BORDEN,Tommy Merritt,27,180,15,Agriculture Commissioner,Republican
BOSQUE,Tommy Merritt,238,2305,10,Agriculture Commissioner,Republican
BOWIE,Tommy Merritt,2377,7148,33,Agriculture Commissioner,Republican
BRAZORIA,Tommy Merritt,3390,16530,21,Agriculture Commissioner,Republican
BRAZOS,Tommy Merritt,2212,9300,24,Agriculture Commissioner,Republican
BREWSTER,Tommy Merritt,94,431,22,Agriculture Commissioner,Republican
BRISCOE,Tommy Merritt,103,292,35,Agriculture Commissioner,Republican
BROOKS,Tommy Merritt,0,0,0,Agriculture Commissioner,Republican
BROWN,Tommy Merritt,1092,5280,21,Agriculture Commissioner,Republican
BURLESON,Tommy Merritt,222,1000,22,Agriculture Commissioner,Republican
BURNET,Tommy Merritt,782,4938,16,Agriculture Commissioner,Republican
CALDWELL,Tommy Merritt,199,1079,18,Agriculture Commissioner,Republican
CALHOUN,Tommy Merritt,159,886,18,Agriculture Commissioner,Republican
CALLAHAN,Tommy Merritt,278,1480,19,Agriculture Commissioner,Republican
CAMERON,Tommy Merritt,475,3428,14,Agriculture Commissioner,Republican
CAMP,Tommy Merritt,430,892,48,Agriculture Commissioner,Republican
CARSON,Tommy Merritt,233,894,26,Agriculture Commissioner,Republican
CASS,Tommy Merritt,940,2986,31,Agriculture Commissioner,Republican
CASTRO,Tommy Merritt,169,576,29,Agriculture Commissioner,Republican
CHAMBERS,Tommy Merritt,938,3546,26,Agriculture Commissioner,Republican
CHEROKEE,Tommy Merritt,2097,4578,46,Agriculture Commissioner,Republican
CHILDRESS,Tommy Merritt,125,705,18,Agriculture Commissioner,Republican
CLAY,Tommy Merritt,293,1201,24,Agriculture Commissioner,Republican
COCHRAN,Tommy Merritt,149,549,27,Agriculture Commissioner,Republican
COKE,Tommy Merritt,87,416,21,Agriculture Commissioner,Republican
COLEMAN,Tommy Merritt,219,1300,17,Agriculture Commissioner,Republican
COLLIN,Tommy Merritt,5032,39194,13,Agriculture Commissioner,Republican
COLLINGSWORTH,Tommy Merritt,68,211,32,Agriculture Commissioner,Republican
COLORADO,Tommy Merritt,250,2089,12,Agriculture Commissioner,Republican
COMAL,Tommy Merritt,3349,13124,26,Agriculture Commissioner,Republican
COMANCHE,Tommy Merritt,101,1690,6,Agriculture Commissioner,Republican
CONCHO,Tommy Merritt,90,338,27,Agriculture Commissioner,Republican
COOKE,Tommy Merritt,465,4102,11,Agriculture Commissioner,Republican
CORYELL,Tommy Merritt,417,3659,11,Agriculture Commissioner,Republican
COTTLE,Tommy Merritt,16,231,7,Agriculture Commissioner,Republican
CRANE,Tommy Merritt,123,487,25,Agriculture Commissioner,Republican
CROCKETT,Tommy Merritt,8,55,15,Agriculture Commissioner,Republican
CROSBY,Tommy Merritt,49,251,20,Agriculture Commissioner,Republican
CULBERSON,Tommy Merritt,2,19,11,Agriculture Commissioner,Republican
DALLAM,Tommy Merritt,101,397,25,Agriculture Commissioner,Republican
DALLAS,Tommy Merritt,9235,73050,13,Agriculture Commissioner,Republican
DAWSON,Tommy Merritt,483,1334,36,Agriculture Commissioner,Republican
DEAF SMITH,Tommy Merritt,443,1809,24,Agriculture Commissioner,Republican
DELTA,Tommy Merritt,182,843,22,Agriculture Commissioner,Republican
DENTON,Tommy Merritt,5705,34591,16,Agriculture Commissioner,Republican
DE WITT,Tommy Merritt,141,1325,11,Agriculture Commissioner,Republican
DICKENS,Tommy Merritt,84,421,20,Agriculture Commissioner,Republican
DIMMIT,Tommy Merritt,3,30,10,Agriculture Commissioner,Republican
DONLEY,Tommy Merritt,174,660,26,Agriculture Commissioner,Republican
DUVAL,Tommy Merritt,0,0,0,Agriculture Commissioner,Republican
EASTLAND,Tommy Merritt,503,2331,22,Agriculture Commissioner,Republican
ECTOR,Tommy Merritt,2742,6969,39,Agriculture Commissioner,Republican
EDWARDS,Tommy Merritt,47,278,17,Agriculture Commissioner,Republican
ELLIS,Tommy Merritt,2558,11941,21,Agriculture Commissioner,Republican
EL PASO,Tommy Merritt,2112,8920,24,Agriculture Commissioner,Republican
ERATH,Tommy Merritt,244,3732,7,Agriculture Commissioner,Republican
FALLS,Tommy Merritt,139,911,15,Agriculture Commissioner,Republican
