COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE,PARTY
SCHLEICHER,Greg Abbott,400,434,92,Governor,Republican
SCURRY,Greg Abbott,1512,1672,90,Governor,Republican
SHACKELFORD,Greg Abbott,438,462,95,Governor,Republican
SHELBY,Greg Abbott,2695,2972,91,Governor,Republican
SHERMAN,Greg Abbott,287,349,82,Governor,Republican
SMITH,Greg Abbott,19577,20875,94,Governor,Republican
SOMERVELL,Greg Abbott,1450,1656,88,Governor,Republican
STARR,Greg Abbott,0,0,0,Governor,Republican
STEPHENS,Greg Abbott,1646,1849,89,Governor,Republican
STERLING,Greg Abbott,340,386,88,Governor,Republican
STONEWALL,Greg Abbott,50,54,93,Governor,Republican
SUTTON,Greg Abbott,604,685,88,Governor,Republican
SWISHER,Greg Abbott,366,412,89,Governor,Republican
TARRANT,Greg Abbott,84695,92879,91,Governor,Republican
TAYLOR,Greg Abbott,11250,12314,91,Governor,Republican
TERRELL,Greg Abbott,93,106,88,Governor,Republican
TERRY,Greg Abbott,1430,1717,83,Governor,Republican
THROCKMORTON,Greg Abbott,339,386,88,Governor,Republican
TITUS,Greg Abbott,1980,2083,95,Governor,Republican
TOM GREEN,Greg Abbott,7642,8278,92,Governor,Republican
TRAVIS,Greg Abbott,28307,32779,86,Governor,Republican
TRINITY,Greg Abbott,2012,2308,87,Governor,Republican
TYLER,Greg Abbott,2312,2495,93,Governor,Republican
UPSHUR,Greg Abbott,3677,3973,93,Governor,Republican
UPTON,Greg Abbott,111,124,90,Governor,Republican
UVALDE,Greg Abbott,1246,1345,93,Governor,Republican
VAL VERDE,Greg Abbott,970,1161,84,Governor,Republican
VAN ZANDT,Greg Abbott,5844,6241,94,Governor,Republican
VICTORIA,Greg Abbott,5774,6366,91,Governor,Republican
WALKER,Greg Abbott,4526,5066,89,Governor,Republican
WALLER,Greg Abbott,3523,3829,92,Governor,Republican
WARD,Greg Abbott,624,664,94,Governor,Republican
WASHINGTON,Greg Abbott,4131,4406,94,Governor,Republican
WEBB,Greg Abbott,725,1141,64,Governor,Republican
WHARTON,Greg Abbott,3456,3666,94,Governor,Republican
WHEELER,Greg Abbott,595,682,87,Governor,Republican
WICHITA,Greg Abbott,7471,8116,92,Governor,Republican
WILBARGER,Greg Abbott,751,813,92,Governor,Republican
WILLACY,Greg Abbott,117,129,91,Governor,Republican
WILLIAMSON,Greg Abbott,21616,24150,90,Governor,Republican
WILSON,Greg Abbott,3529,3875,91,Governor,Republican
WINKLER,Greg Abbott,714,805,89,Governor,Republican
WISE,Greg Abbott,5027,5568,90,Governor,Republican
WOOD,Greg Abbott,4546,4897,93,Governor,Republican
YOAKUM,Greg Abbott,730,865,84,Governor,Republican
YOUNG,Greg Abbott,1976,2122,93,Governor,Republican
ZAPATA,Greg Abbott,0,0,0,Governor,Republican
ZAVALA,Greg Abbott,0,0,0,Governor,Republican
