COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE
CAMP,Dan Branch,379,911,42,AG
CARSON,Dan Branch,399,968,41,AG
CASS,Dan Branch,956,3001,32,AG
CASTRO,Dan Branch,216,615,35,AG
CHAMBERS,Dan Branch,1060,3749,28,AG
CHEROKEE,Dan Branch,1852,4820,38,AG
CHILDRESS,Dan Branch,323,775,42,AG
CLAY,Dan Branch,570,1398,41,AG
COCHRAN,Dan Branch,195,591,33,AG
COKE,Dan Branch,141,445,32,AG
COLEMAN,Dan Branch,629,1383,45,AG
COLLIN,Dan Branch,9965,44312,22,AG
COLLINGSWORTH,Dan Branch,111,238,47,AG
COLORADO,Dan Branch,911,2269,40,AG
COMAL,Dan Branch,4393,14005,31,AG
COMANCHE,Dan Branch,701,1596,44,AG
CONCHO,Dan Branch,143,351,41,AG
COOKE,Dan Branch,1337,4551,29,AG
CORYELL,Dan Branch,1568,3620,43,AG
COTTLE,Dan Branch,88,259,34,AG
CRANE,Dan Branch,189,568,33,AG
CROCKETT,Dan Branch,19,54,35,AG
CROSBY,Dan Branch,73,268,27,AG
CULBERSON,Dan Branch,2,19,11,AG
DALLAM,Dan Branch,143,420,34,AG
DALLAS,Dan Branch,35852,82166,44,AG
DAWSON,Dan Branch,542,1440,38,AG
DEAF SMITH,Dan Branch,633,1932,33,AG
DELTA,Dan Branch,324,875,37,AG
DENTON,Dan Branch,10933,36729,30,AG
DE WITT,Dan Branch,492,1386,35,AG
DICKENS,Dan Branch,209,459,46,AG
DIMMIT,Dan Branch,8,32,25,AG
DONLEY,Dan Branch,288,748,39,AG
DUVAL,Dan Branch,0,0,0,AG
EASTLAND,Dan Branch,1086,2440,45,AG
ECTOR,Dan Branch,2565,7504,34,AG
EDWARDS,Dan Branch,95,283,34,AG
ELLIS,Dan Branch,4851,12779,38,AG
EL PASO,Dan Branch,2546,9245,28,AG
ERATH,Dan Branch,1286,3524,36,AG
FALLS,Dan Branch,367,995,37,AG
FANNIN,Dan Branch,820,2426,34,AG
FAYETTE,Dan Branch,1500,3706,40,AG
FISHER,Dan Branch,114,240,48,AG
FLOYD,Dan Branch,265,909,29,AG
FOARD,Dan Branch,0,0,0,AG
FORT BEND,Dan Branch,8529,27458,31,AG
FRANKLIN,Dan Branch,569,1357,42,AG
FREESTONE,Dan Branch,674,2113,32,AG
FRIO,Dan Branch,0,0,0,AG
GAINES,Dan Branch,423,1387,30,AG
GALVESTON,Dan Branch,4821,17526,28,AG
GARZA,Dan Branch,181,526,34,AG
GILLESPIE,Dan Branch,1469,3794,39,AG
GLASSCOCK,Dan Branch,92,200,46,AG
GOLIAD,Dan Branch,371,850,44,AG
GONZALES,Dan Branch,557,1522,37,AG
GRAY,Dan Branch,736,2038,36,AG
GRAYSON,Dan Branch,2849,9512,30,AG
GREGG,Dan Branch,2508,7548,33,AG
GRIMES,Dan Branch,666,1589,42,AG
GUADALUPE,Dan Branch,3929,10673,37,AG
HALE,Dan Branch,799,2259,35,AG
HALL,Dan Branch,78,201,39,AG
HAMILTON,Dan Branch,489,1199,41,AG
HANSFORD,Dan Branch,430,991,43,AG
HARDEMAN,Dan Branch,56,170,33,AG
HARDIN,Dan Branch,1370,6566,21,AG
HARRIS,Dan Branch,37048,132804,28,AG
HARRISON,Dan Branch,1829,4684,39,AG
HARTLEY,Dan Branch,323,805,40,AG
HASKELL,Dan Branch,76,247,31,AG
HAYS,Dan Branch,2872,8077,36,AG
HEMPHILL,Dan Branch,213,507,42,AG
HENDERSON,Dan Branch,2921,8128,36,AG
HIDALGO,Dan Branch,2267,5417,42,AG
HILL,Dan Branch,2317,5362,43,AG
HOCKLEY,Dan Branch,582,1721,34,AG
HOOD,Dan Branch,2862,7593,38,AG
HOPKINS,Dan Branch,1143,2902,39,AG
HOUSTON,Dan Branch,655,1716,38,AG
HOWARD,Dan Branch,1252,2814,44,AG
HUDSPETH,Dan Branch,0,0,0,AG
HUNT,Dan Branch,3024,7586,40,AG
HUTCHINSON,Dan Branch,817,2269,36,AG
IRION,Dan Branch,84,218,39,AG
JACK,Dan Branch,335,825,41,AG
JACKSON,Dan Branch,401,1158,35,AG
JASPER,Dan Branch,525,2150,24,AG
JEFF DAVIS,Dan Branch,76,212,36,AG
JEFFERSON,Dan Branch,2692,9669,28,AG
JIM HOGG,Dan Branch,4,10,40,AG
JIM WELLS,Dan Branch,154,518,30,AG
JOHNSON,Dan Branch,3831,11256,34,AG
JONES,Dan Branch,687,1587,43,AG
KARNES,Dan Branch,125,317,39,AG
KAUFMAN,Dan Branch,2971,8755,34,AG
KENDALL,Dan Branch,2273,5603,41,AG
KENEDY,Dan Branch,3,14,21,AG
KENT,Dan Branch,37,101,37,AG
KERR,Dan Branch,3095,8147,38,AG
KIMBLE,Dan Branch,399,952,42,AG
KING,Dan Branch,28,61,46,AG
KINNEY,Dan Branch,96,297,32,AG
KLEBERG,Dan Branch,263,800,33,AG
KNOX,Dan Branch,175,428,41,AG
LAMAR,Dan Branch,2165,5077,43,AG
LAMB,Dan Branch,533,1306,41,AG
LAMPASAS,Dan Branch,1035,2326,44,AG
LA SALLE,Dan Branch,3,8,38,AG
LAVACA,Dan Branch,837,2195,38,AG
LEE,Dan Branch,365,1079,34,AG
LEON,Dan Branch,964,2581,37,AG
LIBERTY,Dan Branch,2060,6293,33,AG
LIMESTONE,Dan Branch,761,2156,35,AG
LIPSCOMB,Dan Branch,222,581,38,AG
LIVE OAK,Dan Branch,294,752,39,AG
LLANO,Dan Branch,1515,3760,40,AG
LOVING,Dan Branch,7,10,70,AG
LUBBOCK,Dan Branch,6004,21980,27,AG
LYNN,Dan Branch,357,956,37,AG
MADISON,Dan Branch,633,1588,40,AG
MARION,Dan Branch,201,617,33,AG
MARTIN,Dan Branch,268,722,37,AG
MASON,Dan Branch,427,1007,42,AG
MATAGORDA,Dan Branch,562,1684,33,AG
MAVERICK,Dan Branch,25,76,33,AG
MCCULLOCH,Dan Branch,590,1427,41,AG
MCLENNAN,Dan Branch,3648,10836,34,AG
MCMULLEN,Dan Branch,74,144,51,AG
MEDINA,Dan Branch,1658,3968,42,AG
MENARD,Dan Branch,127,426,30,AG
MIDLAND,Dan Branch,4049,12094,33,AG
MILAM,Dan Branch,808,2395,34,AG
MILLS,Dan Branch,304,751,40,AG
MITCHELL,Dan Branch,293,682,43,AG
MONTAGUE,Dan Branch,974,2694,36,AG
MONTGOMERY,Dan Branch,9674,40871,24,AG
MOORE,Dan Branch,474,1283,37,AG
MORRIS,Dan Branch,190,549,35,AG
MOTLEY,Dan Branch,63,196,32,AG
NACOGDOCHES,Dan Branch,2258,5228,43,AG
NAVARRO,Dan Branch,1815,4133,44,AG
NEWTON,Dan Branch,70,442,16,AG
NOLAN,Dan Branch,481,1036,46,AG
NUECES,Dan Branch,2867,10927,26,AG
OCHILTREE,Dan Branch,264,928,28,AG
OLDHAM,Dan Branch,160,394,41,AG
ORANGE,Dan Branch,1658,7152,23,AG
PALO PINTO,Dan Branch,1160,2836,41,AG
PANOLA,Dan Branch,1042,3049,34,AG
PARKER,Dan Branch,3635,12332,29,AG
PARMER,Dan Branch,294,816,36,AG
PECOS,Dan Branch,255,613,42,AG
POLK,Dan Branch,1842,5180,36,AG
POTTER,Dan Branch,2884,6860,42,AG
PRESIDIO,Dan Branch,3,13,23,AG
RAINS,Dan Branch,487,1143,43,AG
RANDALL,Dan Branch,4332,13093,33,AG
REAGAN,Dan Branch,112,263,43,AG
REAL,Dan Branch,325,830,39,AG
RED RIVER,Dan Branch,645,1376,47,AG
REEVES,Dan Branch,0,0,0,AG
REFUGIO,Dan Branch,146,495,29,AG
ROBERTS,Dan Branch,100,288,35,AG
ROBERTSON,Dan Branch,385,1246,31,AG
ROCKWALL,Dan Branch,2878,7669,38,AG
RUNNELS,Dan Branch,587,1492,39,AG
RUSK,Dan Branch,1811,4368,41,AG
SABINE,Dan Branch,644,1556,41,AG
SAN AUGUSTINE,Dan Branch,260,709,37,AG
SAN JACINTO,Dan Branch,946,2478,38,AG
SAN PATRICIO,Dan Branch,949,2553,37,AG
SAN SABA,Dan Branch,325,883,37,AG
SCHLEICHER,Dan Branch,117,372,31,AG
SCURRY,Dan Branch,605,1575,38,AG
SHACKELFORD,Dan Branch,187,434,43,AG
SHELBY,Dan Branch,1068,2611,41,AG
SHERMAN,Dan Branch,148,334,44,AG
SMITH,Dan Branch,5791,19898,29,AG
SOMERVELL,Dan Branch,610,1499,41,AG
STARR,Dan Branch,0,0,0,AG
STEPHENS,Dan Branch,867,1699,51,AG
STERLING,Dan Branch,86,318,27,AG
STONEWALL,Dan Branch,15,50,30,AG
SUTTON,Dan Branch,191,579,33,AG
SWISHER,Dan Branch,170,401,42,AG
TARRANT,Dan Branch,25014,89542,28,AG
TAYLOR,Dan Branch,5233,11800,44,AG
TERRELL,Dan Branch,35,89,39,AG
TERRY,Dan Branch,630,1578,40,AG
THROCKMORTON,Dan Branch,114,312,37,AG
TITUS,Dan Branch,643,1591,40,AG
TOM GREEN,Dan Branch,2771,7725,36,AG
TRAVIS,Dan Branch,12482,31729,39,AG
TRINITY,Dan Branch,903,2172,42,AG
TYLER,Dan Branch,723,2126,34,AG
UPSHUR,Dan Branch,1278,3823,33,AG
UPTON,Dan Branch,41,113,36,AG
UVALDE,Dan Branch,536,1277,42,AG
VAL VERDE,Dan Branch,424,1088,39,AG
VAN ZANDT,Dan Branch,2243,5918,38,AG
VICTORIA,Dan Branch,2198,5609,39,AG
WALKER,Dan Branch,1856,4803,39,AG
WALLER,Dan Branch,1179,3613,33,AG
WARD,Dan Branch,289,646,45,AG
WASHINGTON,Dan Branch,1625,4137,39,AG
WEBB,Dan Branch,324,1079,30,AG
WHARTON,Dan Branch,1412,3460,41,AG
WHEELER,Dan Branch,214,641,33,AG
WICHITA,Dan Branch,2642,7680,34,AG
WILBARGER,Dan Branch,283,769,37,AG
WILLACY,Dan Branch,39,121,32,AG
WILLIAMSON,Dan Branch,7094,23106,31,AG
WILSON,Dan Branch,1485,3661,41,AG
WINKLER,Dan Branch,312,747,42,AG
WISE,Dan Branch,2159,5383,40,AG
WOOD,Dan Branch,1614,4804,34,AG
YOAKUM,Dan Branch,290,814,36,AG
YOUNG,Dan Branch,606,2011,30,AG
ZAPATA,Dan Branch,0,0,0,AG
ZAVALA,Dan Branch,0,0,0,AG
ANDERSON,Ken Paxton,2381,5458,44,AG
ANDREWS,Ken Paxton,460,1286,36,AG
ANGELINA,Ken Paxton,2966,7833,38,AG
ARANSAS,Ken Paxton,1027,2663,39,AG
ARCHER,Ken Paxton,485,1237,39,AG
ARMSTRONG,Ken Paxton,213,520,41,AG
ATASCOSA,Ken Paxton,631,1531,41,AG
AUSTIN,Ken Paxton,1450,3458,42,AG
BAILEY,Ken Paxton,191,457,42,AG
BANDERA,Ken Paxton,1033,2749,38,AG
BASTROP,Ken Paxton,1731,4434,39,AG
BAYLOR,Ken Paxton,151,503,30,AG
BEE,Ken Paxton,395,1159,34,AG
BELL,Ken Paxton,5356,12956,41,AG
BEXAR,Ken Paxton,25285,61042,41,AG
BLANCO,Ken Paxton,498,1559,32,AG
BORDEN,Ken Paxton,84,196,43,AG
BOSQUE,Ken Paxton,993,2425,41,AG
BOWIE,Ken Paxton,3182,7140,45,AG
BRAZORIA,Ken Paxton,8389,17579,48,AG
BRAZOS,Ken Paxton,3718,10037,37,AG
BREWSTER,Ken Paxton,172,461,37,AG
BRISCOE,Ken Paxton,117,327,36,AG
BROOKS,Ken Paxton,0,0,0,AG
BROWN,Ken Paxton,2108,5409,39,AG
BURLESON,Ken Paxton,386,1068,36,AG
BURNET,Ken Paxton,1767,5504,32,AG
CALDWELL,Ken Paxton,463,1173,39,AG
CALHOUN,Ken Paxton,394,948,42,AG
CALLAHAN,Ken Paxton,616,1587,39,AG
CAMERON,Ken Paxton,1120,3611,31,AG
CAMP,Ken Paxton,389,911,43,AG
CARSON,Ken Paxton,357,968,37,AG
CASS,Ken Paxton,1295,3001,43,AG
CASTRO,Ken Paxton,222,615,36,AG
CHAMBERS,Ken Paxton,1721,3749,46,AG
CHEROKEE,Ken Paxton,1889,4820,39,AG
CHILDRESS,Ken Paxton,248,775,32,AG
CLAY,Ken Paxton,430,1398,31,AG
COCHRAN,Ken Paxton,259,591,44,AG
COKE,Ken Paxton,121,445,27,AG
COLEMAN,Ken Paxton,489,1383,35,AG
COLLIN,Ken Paxton,30169,44312,68,AG
COLLINGSWORTH,Ken Paxton,91,238,38,AG
COLORADO,Ken Paxton,885,2269,39,AG
COMAL,Ken Paxton,6088,14005,43,AG
COMANCHE,Ken Paxton,686,1596,43,AG
CONCHO,Ken Paxton,98,351,28,AG
COOKE,Ken Paxton,2470,4551,54,AG
CORYELL,Ken Paxton,1244,3620,34,AG
COTTLE,Ken Paxton,102,259,39,AG
CRANE,Ken Paxton,205,568,36,AG
CROCKETT,Ken Paxton,20,54,37,AG
CROSBY,Ken Paxton,120,268,45,AG
CULBERSON,Ken Paxton,13,19,68,AG
DALLAM,Ken Paxton,158,420,38,AG
DALLAS,Ken Paxton,36373,82166,44,AG
DAWSON,Ken Paxton,516,1440,36,AG
DEAF SMITH,Ken Paxton,697,1932,36,AG
DELTA,Ken Paxton,451,875,52,AG
DENTON,Ken Paxton,21094,36729,57,AG
DE WITT,Ken Paxton,551,1386,40,AG
DICKENS,Ken Paxton,129,459,28,AG
DIMMIT,Ken Paxton,20,32,63,AG
DONLEY,Ken Paxton,279,748,37,AG
DUVAL,Ken Paxton,0,0,0,AG
EASTLAND,Ken Paxton,931,2440,38,AG
ECTOR,Ken Paxton,3168,7504,42,AG
EDWARDS,Ken Paxton,111,283,39,AG
ELLIS,Ken Paxton,6065,12779,47,AG
EL PASO,Ken Paxton,4072,9245,44,AG
ERATH,Ken Paxton,1636,3524,46,AG
FALLS,Ken Paxton,383,995,38,AG
FANNIN,Ken Paxton,1285,2426,53,AG
FAYETTE,Ken Paxton,1344,3706,36,AG
FISHER,Ken Paxton,107,240,45,AG
FLOYD,Ken Paxton,301,909,33,AG
FOARD,Ken Paxton,0,0,0,AG
FORT BEND,Ken Paxton,13338,27458,49,AG
FRANKLIN,Ken Paxton,519,1357,38,AG
FREESTONE,Ken Paxton,1066,2113,50,AG
FRIO,Ken Paxton,0,0,0,AG
GAINES,Ken Paxton,626,1387,45,AG
GALVESTON,Ken Paxton,7592,17526,43,AG
GARZA,Ken Paxton,201,526,38,AG
GILLESPIE,Ken Paxton,1123,3794,30,AG
GLASSCOCK,Ken Paxton,59,200,30,AG
GOLIAD,Ken Paxton,305,850,36,AG
GONZALES,Ken Paxton,632,1522,42,AG
GRAY,Ken Paxton,733,2038,36,AG
GRAYSON,Ken Paxton,4354,9512,46,AG
GREGG,Ken Paxton,2809,7548,37,AG
GRIMES,Ken Paxton,653,1589,41,AG
GUADALUPE,Ken Paxton,4374,10673,41,AG
HALE,Ken Paxton,836,2259,37,AG
HALL,Ken Paxton,93,201,46,AG
HAMILTON,Ken Paxton,465,1199,39,AG
HANSFORD,Ken Paxton,336,991,34,AG
HARDEMAN,Ken Paxton,49,170,29,AG
HARDIN,Ken Paxton,3781,6566,58,AG
HARRIS,Ken Paxton,51887,132804,39,AG
HARRISON,Ken Paxton,1736,4684,37,AG
HARTLEY,Ken Paxton,305,805,38,AG
HASKELL,Ken Paxton,113,247,46,AG
HAYS,Ken Paxton,3063,8077,38,AG
HEMPHILL,Ken Paxton,170,507,34,AG
HENDERSON,Ken Paxton,3900,8128,48,AG
HIDALGO,Ken Paxton,1610,5417,30,AG
HILL,Ken Paxton,2090,5362,39,AG
HOCKLEY,Ken Paxton,581,1721,34,AG
HOOD,Ken Paxton,3416,7593,45,AG
HOPKINS,Ken Paxton,1382,2902,48,AG
HOUSTON,Ken Paxton,658,1716,38,AG
HOWARD,Ken Paxton,1025,2814,36,AG
HUDSPETH,Ken Paxton,0,0,0,AG
HUNT,Ken Paxton,3633,7586,48,AG
HUTCHINSON,Ken Paxton,843,2269,37,AG
IRION,Ken Paxton,69,218,32,AG
JACK,Ken Paxton,343,825,42,AG
JACKSON,Ken Paxton,471,1158,41,AG
JASPER,Ken Paxton,1066,2150,50,AG
JEFF DAVIS,Ken Paxton,73,212,34,AG
JEFFERSON,Ken Paxton,4458,9669,46,AG
JIM HOGG,Ken Paxton,2,10,20,AG
JIM WELLS,Ken Paxton,220,518,42,AG
JOHNSON,Ken Paxton,5906,11256,52,AG
JONES,Ken Paxton,603,1587,38,AG
KARNES,Ken Paxton,117,317,37,AG
KAUFMAN,Ken Paxton,4729,8755,54,AG
KENDALL,Ken Paxton,2221,5603,40,AG
KENEDY,Ken Paxton,8,14,57,AG
KENT,Ken Paxton,42,101,42,AG
KERR,Ken Paxton,2774,8147,34,AG
KIMBLE,Ken Paxton,259,952,27,AG
KING,Ken Paxton,15,61,25,AG
KINNEY,Ken Paxton,141,297,47,AG
KLEBERG,Ken Paxton,290,800,36,AG
KNOX,Ken Paxton,167,428,39,AG
LAMAR,Ken Paxton,1979,5077,39,AG
LAMB,Ken Paxton,474,1306,36,AG
LAMPASAS,Ken Paxton,773,2326,33,AG
LA SALLE,Ken Paxton,4,8,50,AG
LAVACA,Ken Paxton,763,2195,35,AG
LEE,Ken Paxton,445,1079,41,AG
LEON,Ken Paxton,998,2581,39,AG
LIBERTY,Ken Paxton,2520,6293,40,AG
LIMESTONE,Ken Paxton,935,2156,43,AG
LIPSCOMB,Ken Paxton,248,581,43,AG
LIVE OAK,Ken Paxton,249,752,33,AG
LLANO,Ken Paxton,1218,3760,32,AG
LOVING,Ken Paxton,1,10,10,AG
LUBBOCK,Ken Paxton,8906,21980,41,AG
LYNN,Ken Paxton,303,956,32,AG
MADISON,Ken Paxton,611,1588,38,AG
MARION,Ken Paxton,287,617,47,AG
MARTIN,Ken Paxton,276,722,38,AG
MASON,Ken Paxton,316,1007,31,AG
MATAGORDA,Ken Paxton,735,1684,44,AG
MAVERICK,Ken Paxton,36,76,47,AG
MCCULLOCH,Ken Paxton,351,1427,25,AG
MCLENNAN,Ken Paxton,4299,10836,40,AG
MCMULLEN,Ken Paxton,43,144,30,AG
MEDINA,Ken Paxton,1595,3968,40,AG
MENARD,Ken Paxton,125,426,29,AG
MIDLAND,Ken Paxton,4578,12094,38,AG
MILAM,Ken Paxton,729,2395,30,AG
MILLS,Ken Paxton,279,751,37,AG
MITCHELL,Ken Paxton,245,682,36,AG
MONTAGUE,Ken Paxton,1126,2694,42,AG
MONTGOMERY,Ken Paxton,24023,40871,59,AG
MOORE,Ken Paxton,469,1283,37,AG
MORRIS,Ken Paxton,249,549,45,AG
MOTLEY,Ken Paxton,73,196,37,AG
NACOGDOCHES,Ken Paxton,1739,5228,33,AG
NAVARRO,Ken Paxton,1751,4133,42,AG
NEWTON,Ken Paxton,256,442,58,AG
NOLAN,Ken Paxton,362,1036,35,AG
NUECES,Ken Paxton,3287,10927,30,AG
OCHILTREE,Ken Paxton,360,928,39,AG
OLDHAM,Ken Paxton,146,394,37,AG
ORANGE,Ken Paxton,3449,7152,48,AG
PALO PINTO,Ken Paxton,1273,2836,45,AG
PANOLA,Ken Paxton,1422,3049,47,AG
PARKER,Ken Paxton,6884,12332,56,AG
PARMER,Ken Paxton,310,816,38,AG
PECOS,Ken Paxton,230,613,38,AG
POLK,Ken Paxton,1987,5180,38,AG
POTTER,Ken Paxton,2189,6860,32,AG
PRESIDIO,Ken Paxton,7,13,54,AG
RAINS,Ken Paxton,520,1143,45,AG
RANDALL,Ken Paxton,5235,13093,40,AG
REAGAN,Ken Paxton,62,263,24,AG
REAL,Ken Paxton,276,830,33,AG
RED RIVER,Ken Paxton,543,1376,39,AG
REEVES,Ken Paxton,0,0,0,AG
REFUGIO,Ken Paxton,224,495,45,AG
ROBERTS,Ken Paxton,129,288,45,AG
ROBERTSON,Ken Paxton,480,1246,39,AG
ROCKWALL,Ken Paxton,3834,7669,50,AG
RUNNELS,Ken Paxton,480,1492,32,AG
RUSK,Ken Paxton,1514,4368,35,AG
SABINE,Ken Paxton,635,1556,41,AG
SAN AUGUSTINE,Ken Paxton,293,709,41,AG
SAN JACINTO,Ken Paxton,986,2478,40,AG
SAN PATRICIO,Ken Paxton,924,2553,36,AG
SAN SABA,Ken Paxton,367,883,42,AG
SCHLEICHER,Ken Paxton,135,372,36,AG
SCURRY,Ken Paxton,490,1575,31,AG
SHACKELFORD,Ken Paxton,167,434,38,AG
SHELBY,Ken Paxton,860,2611,33,AG
SHERMAN,Ken Paxton,108,334,32,AG
SMITH,Ken Paxton,9842,19898,49,AG
SOMERVELL,Ken Paxton,664,1499,44,AG
STARR,Ken Paxton,0,0,0,AG
STEPHENS,Ken Paxton,559,1699,33,AG
STERLING,Ken Paxton,127,318,40,AG
STONEWALL,Ken Paxton,26,50,52,AG
SUTTON,Ken Paxton,183,579,32,AG
SWISHER,Ken Paxton,154,401,38,AG
TARRANT,Ken Paxton,53367,89542,60,AG
TAYLOR,Ken Paxton,4275,11800,36,AG
TERRELL,Ken Paxton,34,89,38,AG
TERRY,Ken Paxton,583,1578,37,AG
THROCKMORTON,Ken Paxton,85,312,27,AG
TITUS,Ken Paxton,596,1591,37,AG
TOM GREEN,Ken Paxton,2376,7725,31,AG
TRAVIS,Ken Paxton,10963,31729,35,AG
TRINITY,Ken Paxton,902,2172,42,AG
TYLER,Ken Paxton,952,2126,45,AG
UPSHUR,Ken Paxton,1601,3823,42,AG
UPTON,Ken Paxton,40,113,35,AG
UVALDE,Ken Paxton,467,1277,37,AG
VAL VERDE,Ken Paxton,465,1088,43,AG
VAN ZANDT,Ken Paxton,2720,5918,46,AG
VICTORIA,Ken Paxton,2098,5609,37,AG
WALKER,Ken Paxton,2135,4803,44,AG
WALLER,Ken Paxton,1650,3613,46,AG
WARD,Ken Paxton,252,646,39,AG
WASHINGTON,Ken Paxton,1481,4137,36,AG
WEBB,Ken Paxton,470,1079,44,AG
WHARTON,Ken Paxton,1384,3460,40,AG
WHEELER,Ken Paxton,256,641,40,AG
WICHITA,Ken Paxton,2224,7680,29,AG
WILBARGER,Ken Paxton,226,769,29,AG
WILLACY,Ken Paxton,49,121,40,AG
WILLIAMSON,Ken Paxton,9473,23106,41,AG
WILSON,Ken Paxton,1538,3661,42,AG
WINKLER,Ken Paxton,310,747,41,AG
WISE,Ken Paxton,2563,5383,48,AG
WOOD,Ken Paxton,2252,4804,47,AG
YOAKUM,Ken Paxton,335,814,41,AG
YOUNG,Ken Paxton,854,2011,42,AG
ZAPATA,Ken Paxton,0,0,0,AG
ZAVALA,Ken Paxton,0,0,0,AG
ANDERSON,Glenn Hegar,2681,5238,51,Comptroller
ANDREWS,Glenn Hegar,536,1243,43,Comptroller
ANGELINA,Glenn Hegar,2543,7479,34,Comptroller
ARANSAS,Glenn Hegar,1451,2834,51,Comptroller
ARCHER,Glenn Hegar,356,1088,33,Comptroller
ARMSTRONG,Glenn Hegar,196,468,42,Comptroller
ATASCOSA,Glenn Hegar,545,1503,36,Comptroller
AUSTIN,Glenn Hegar,2627,3507,75,Comptroller
BAILEY,Glenn Hegar,239,436,55,Comptroller
BANDERA,Glenn Hegar,832,2752,30,Comptroller
BASTROP,Glenn Hegar,2223,4327,51,Comptroller
BAYLOR,Glenn Hegar,156,435,36,Comptroller
BEE,Glenn Hegar,424,1194,36,Comptroller
BELL,Glenn Hegar,6804,12353,55,Comptroller
BEXAR,Glenn Hegar,22378,58295,38,Comptroller
BLANCO,Glenn Hegar,511,1487,34,Comptroller
BORDEN,Glenn Hegar,77,184,42,Comptroller
BOSQUE,Glenn Hegar,1247,2294,54,Comptroller
BOWIE,Glenn Hegar,2233,7209,31,Comptroller
BRAZORIA,Glenn Hegar,8223,17078,48,Comptroller
BRAZOS,Glenn Hegar,4002,9583,42,Comptroller
BREWSTER,Glenn Hegar,114,438,26,Comptroller
BRISCOE,Glenn Hegar,119,291,41,Comptroller
BROOKS,Glenn Hegar,0,0,0,Comptroller
BROWN,Glenn Hegar,1921,5222,37,Comptroller
BURLESON,Glenn Hegar,451,1056,43,Comptroller
BURNET,Glenn Hegar,2130,5327,40,Comptroller
CALDWELL,Glenn Hegar,713,1151,62,Comptroller
CALHOUN,Glenn Hegar,629,929,68,Comptroller
CALLAHAN,Glenn Hegar,723,2105,34,Comptroller
CAMERON,Glenn Hegar,840,3540,24,Comptroller
CAMP,Glenn Hegar,411,860,48,Comptroller
CARSON,Glenn Hegar,346,901,38,Comptroller
CASS,Glenn Hegar,1146,2905,39,Comptroller
CASTRO,Glenn Hegar,256,581,44,Comptroller
CHAMBERS,Glenn Hegar,1601,3471,46,Comptroller
CHEROKEE,Glenn Hegar,2503,4588,55,Comptroller
CHILDRESS,Glenn Hegar,295,730,40,Comptroller
CLAY,Glenn Hegar,425,1247,34,Comptroller
COCHRAN,Glenn Hegar,240,563,43,Comptroller
COKE,Glenn Hegar,97,432,22,Comptroller
COLEMAN,Glenn Hegar,540,1402,39,Comptroller
COLLIN,Glenn Hegar,27280,40572,67,Comptroller
COLLINGSWORTH,Glenn Hegar,116,220,53,Comptroller
COLORADO,Glenn Hegar,1643,2297,72,Comptroller
COMAL,Glenn Hegar,6028,13514,45,Comptroller
COMANCHE,Glenn Hegar,847,1527,55,Comptroller
CONCHO,Glenn Hegar,78,356,22,Comptroller
COOKE,Glenn Hegar,2051,4168,49,Comptroller
CORYELL,Glenn Hegar,1439,3460,42,Comptroller
COTTLE,Glenn Hegar,88,285,31,Comptroller
CRANE,Glenn Hegar,149,539,28,Comptroller
CROCKETT,Glenn Hegar,13,61,21,Comptroller
CROSBY,Glenn Hegar,120,262,46,Comptroller
CULBERSON,Glenn Hegar,9,18,50,Comptroller
DALLAM,Glenn Hegar,182,407,45,Comptroller
DALLAS,Glenn Hegar,46255,75181,62,Comptroller
DAWSON,Glenn Hegar,523,1398,37,Comptroller
DEAF SMITH,Glenn Hegar,839,1891,44,Comptroller
DELTA,Glenn Hegar,430,829,52,Comptroller
DENTON,Glenn Hegar,20794,35113,59,Comptroller
DE WITT,Glenn Hegar,899,1422,63,Comptroller
DICKENS,Glenn Hegar,259,447,58,Comptroller
DIMMIT,Glenn Hegar,16,30,53,Comptroller
DONLEY,Glenn Hegar,303,683,44,Comptroller
DUVAL,Glenn Hegar,0,0,0,Comptroller
EASTLAND,Glenn Hegar,1083,2360,46,Comptroller
ECTOR,Glenn Hegar,3144,7322,43,Comptroller
EDWARDS,Glenn Hegar,102,305,33,Comptroller
ELLIS,Glenn Hegar,6970,12172,57,Comptroller
EL PASO,Glenn Hegar,2692,9089,30,Comptroller
ERATH,Glenn Hegar,1562,3339,47,Comptroller
FALLS,Glenn Hegar,473,949,50,Comptroller
FANNIN,Glenn Hegar,1196,2324,51,Comptroller
FAYETTE,Glenn Hegar,2909,3776,77,Comptroller
FISHER,Glenn Hegar,125,221,57,Comptroller
FLOYD,Glenn Hegar,350,865,40,Comptroller
FOARD,Glenn Hegar,0,0,0,Comptroller
FORT BEND,Glenn Hegar,18161,26936,67,Comptroller
FRANKLIN,Glenn Hegar,611,1262,48,Comptroller
FREESTONE,Glenn Hegar,1074,1998,54,Comptroller
FRIO,Glenn Hegar,0,0,0,Comptroller
GAINES,Glenn Hegar,614,1328,46,Comptroller
GALVESTON,Glenn Hegar,6716,16514,41,Comptroller
GARZA,Glenn Hegar,210,506,42,Comptroller
GILLESPIE,Glenn Hegar,1070,3762,28,Comptroller
GLASSCOCK,Glenn Hegar,89,195,46,Comptroller
GOLIAD,Glenn Hegar,576,875,66,Comptroller
GONZALES,Glenn Hegar,924,1511,61,Comptroller
GRAY,Glenn Hegar,877,1941,45,Comptroller
GRAYSON,Glenn Hegar,3340,9169,36,Comptroller
GREGG,Glenn Hegar,3012,7124,42,Comptroller
