COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE
STONEWALL,John Cornyn,31,49,63,Senate
SUTTON,John Cornyn,405,647,63,Senate
SWISHER,John Cornyn,261,410,64,Senate
TARRANT,John Cornyn,55177,90209,61,Senate
TAYLOR,John Cornyn,7818,12116,65,Senate
TERRELL,John Cornyn,65,103,63,Senate
TERRY,John Cornyn,902,1590,57,Senate
THROCKMORTON,John Cornyn,253,359,70,Senate
TITUS,John Cornyn,1092,1739,63,Senate
TOM GREEN,John Cornyn,5232,8164,64,Senate
TRAVIS,John Cornyn,21297,32687,65,Senate
TRINITY,John Cornyn,1255,2266,55,Senate
TYLER,John Cornyn,1115,2429,46,Senate
UPSHUR,John Cornyn,2257,3874,58,Senate
UPTON,John Cornyn,62,117,53,Senate
UVALDE,John Cornyn,954,1341,71,Senate
VAL VERDE,John Cornyn,753,1146,66,Senate
VAN ZANDT,John Cornyn,3408,6008,57,Senate
VICTORIA,John Cornyn,4096,6231,66,Senate
WALKER,John Cornyn,2416,4924,49,Senate
WALLER,John Cornyn,1632,3755,43,Senate
WARD,John Cornyn,372,638,58,Senate
WASHINGTON,John Cornyn,2493,4312,58,Senate
WEBB,John Cornyn,477,1133,42,Senate
WHARTON,John Cornyn,1889,3608,52,Senate
WHEELER,John Cornyn,413,658,63,Senate
WICHITA,John Cornyn,5032,7914,64,Senate
WILBARGER,John Cornyn,512,784,65,Senate
WILLACY,John Cornyn,71,123,58,Senate
WILLIAMSON,John Cornyn,14732,23998,61,Senate
WILSON,John Cornyn,2293,3790,61,Senate
WINKLER,John Cornyn,422,763,55,Senate
WISE,John Cornyn,3332,5561,60,Senate
WOOD,John Cornyn,2924,4906,60,Senate
YOAKUM,John Cornyn,491,847,58,Senate
YOUNG,John Cornyn,1293,2072,62,Senate
ZAPATA,John Cornyn,0,0,0,Senate
ZAVALA,John Cornyn,0,0,0,Senate
ANDERSON,Greg Abbott,5251,5739,91,Governor
ANDREWS,Greg Abbott,1197,1369,87,Governor
ANGELINA,Greg Abbott,7847,8447,93,Governor
ARANSAS,Greg Abbott,2791,3142,89,Governor
ARCHER,Greg Abbott,1176,1313,90,Governor
ARMSTRONG,Greg Abbott,486,555,88,Governor
ATASCOSA,Greg Abbott,1442,1590,91,Governor
AUSTIN,Greg Abbott,3353,3622,93,Governor
BAILEY,Greg Abbott,442,470,94,Governor
BANDERA,Greg Abbott,2517,2828,89,Governor
BASTROP,Greg Abbott,4065,4711,86,Governor
BAYLOR,Greg Abbott,502,575,87,Governor
BEE,Greg Abbott,1237,1296,95,Governor
BELL,Greg Abbott,12433,13548,92,Governor
BEXAR,Greg Abbott,57104,62395,92,Governor
BLANCO,Greg Abbott,1490,1678,89,Governor
BORDEN,Greg Abbott,201,219,92,Governor
BOSQUE,Greg Abbott,2296,2544,90,Governor
BOWIE,Greg Abbott,8166,9005,91,Governor
BRAZORIA,Greg Abbott,16744,18197,92,Governor
BRAZOS,Greg Abbott,9615,10658,90,Governor
BREWSTER,Greg Abbott,430,481,89,Governor
BRISCOE,Greg Abbott,310,339,91,Governor
BROOKS,Greg Abbott,0,0,0,Governor
BROWN,Greg Abbott,5365,5928,91,Governor
BURLESON,Greg Abbott,1051,1122,94,Governor
BURNET,Greg Abbott,5239,5914,89,Governor
CALDWELL,Greg Abbott,1116,1233,91,Governor
CALHOUN,Greg Abbott,895,999,90,Governor
CALLAHAN,Greg Abbott,1536,1641,94,Governor
CAMERON,Greg Abbott,3368,3893,87,Governor
CAMP,Greg Abbott,936,987,95,Governor
CARSON,Greg Abbott,915,1012,90,Governor
CASS,Greg Abbott,3116,3418,91,Governor
CASTRO,Greg Abbott,563,641,88,Governor
CHAMBERS,Greg Abbott,3600,3911,92,Governor
CHEROKEE,Greg Abbott,4885,5220,94,Governor
CHILDRESS,Greg Abbott,751,844,89,Governor
CLAY,Greg Abbott,1365,1500,91,Governor
COCHRAN,Greg Abbott,504,631,80,Governor
COKE,Greg Abbott,470,515,91,Governor
COLEMAN,Greg Abbott,1398,1502,93,Governor
COLLIN,Greg Abbott,40939,44621,92,Governor
COLLINGSWORTH,Greg Abbott,216,256,84,Governor
COLORADO,Greg Abbott,2170,2384,91,Governor
COMAL,Greg Abbott,13323,14458,92,Governor
COMANCHE,Greg Abbott,1495,1679,89,Governor
CONCHO,Greg Abbott,338,380,89,Governor
COOKE,Greg Abbott,4369,4818,91,Governor
CORYELL,Greg Abbott,3403,3831,89,Governor
COTTLE,Greg Abbott,147,231,64,Governor
CRANE,Greg Abbott,555,619,90,Governor
CROCKETT,Greg Abbott,59,65,91,Governor
CROSBY,Greg Abbott,251,275,91,Governor
CULBERSON,Greg Abbott,12,21,57,Governor
DALLAM,Greg Abbott,377,434,87,Governor
DALLAS,Greg Abbott,76318,83472,91,Governor
DAWSON,Greg Abbott,1380,1555,89,Governor
DEAF SMITH,Greg Abbott,1692,2106,80,Governor
DELTA,Greg Abbott,806,924,87,Governor
DENTON,Greg Abbott,34191,37657,91,Governor
DE WITT,Greg Abbott,1363,1458,93,Governor
DICKENS,Greg Abbott,466,519,90,Governor
DIMMIT,Greg Abbott,32,33,97,Governor
DONLEY,Greg Abbott,706,797,89,Governor
DUVAL,Greg Abbott,0,0,0,Governor
EASTLAND,Greg Abbott,2454,2648,93,Governor
ECTOR,Greg Abbott,7213,7733,93,Governor
EDWARDS,Greg Abbott,298,324,92,Governor
ELLIS,Greg Abbott,12351,13462,92,Governor
EL PASO,Greg Abbott,8359,9783,85,Governor
ERATH,Greg Abbott,3443,3746,92,Governor
FALLS,Greg Abbott,958,1031,93,Governor
FANNIN,Greg Abbott,2257,2504,90,Governor
FAYETTE,Greg Abbott,3640,4014,91,Governor
FISHER,Greg Abbott,240,253,95,Governor
FLOYD,Greg Abbott,867,981,88,Governor
FOARD,Greg Abbott,0,0,0,Governor
FORT BEND,Greg Abbott,26095,28277,92,Governor
FRANKLIN,Greg Abbott,1361,1489,91,Governor
FREESTONE,Greg Abbott,2091,2248,93,Governor
FRIO,Greg Abbott,0,0,0,Governor
GAINES,Greg Abbott,1334,1504,89,Governor
GALVESTON,Greg Abbott,16751,18420,91,Governor
GARZA,Greg Abbott,493,545,90,Governor
GILLESPIE,Greg Abbott,3733,4002,93,Governor
GLASSCOCK,Greg Abbott,210,223,94,Governor
GOLIAD,Greg Abbott,839,918,91,Governor
GONZALES,Greg Abbott,1486,1620,92,Governor
GRAY,Greg Abbott,1930,2076,93,Governor
GRAYSON,Greg Abbott,9174,10184,90,Governor
GREGG,Greg Abbott,7341,7771,94,Governor
GRIMES,Greg Abbott,1528,1686,91,Governor
GUADALUPE,Greg Abbott,10145,11181,91,Governor
HALE,Greg Abbott,2200,2386,92,Governor
HALL,Greg Abbott,194,205,95,Governor
HAMILTON,Greg Abbott,1166,1257,93,Governor
HANSFORD,Greg Abbott,959,1080,89,Governor
HARDEMAN,Greg Abbott,179,183,98,Governor
HARDIN,Greg Abbott,6765,7379,92,Governor
HARRIS,Greg Abbott,128057,135717,94,Governor
HARRISON,Greg Abbott,4819,5251,92,Governor
HARTLEY,Greg Abbott,757,848,89,Governor
HASKELL,Greg Abbott,242,252,96,Governor
HAYS,Greg Abbott,7426,8515,87,Governor
HEMPHILL,Greg Abbott,503,547,92,Governor
HENDERSON,Greg Abbott,7839,8448,93,Governor
HIDALGO,Greg Abbott,4760,5850,81,Governor
HILL,Greg Abbott,5051,5630,90,Governor
HOCKLEY,Greg Abbott,1659,1784,93,Governor
HOOD,Greg Abbott,7215,7951,91,Governor
HOPKINS,Greg Abbott,2947,3132,94,Governor
HOUSTON,Greg Abbott,1711,1787,96,Governor
HOWARD,Greg Abbott,2672,3017,89,Governor
HUDSPETH,Greg Abbott,0,0,0,Governor
HUNT,Greg Abbott,7366,8130,91,Governor
HUTCHINSON,Greg Abbott,2112,2335,90,Governor
IRION,Greg Abbott,208,226,92,Governor
JACK,Greg Abbott,804,867,93,Governor
JACKSON,Greg Abbott,1130,1212,93,Governor
JASPER,Greg Abbott,2263,2370,95,Governor
JEFF DAVIS,Greg Abbott,202,226,89,Governor
JEFFERSON,Greg Abbott,9996,10512,95,Governor
JIM HOGG,Greg Abbott,8,10,80,Governor
JIM WELLS,Greg Abbott,520,557,93,Governor
JOHNSON,Greg Abbott,10766,11725,92,Governor
JONES,Greg Abbott,1512,1678,90,Governor
KARNES,Greg Abbott,313,332,94,Governor
KAUFMAN,Greg Abbott,8456,9207,92,Governor
KENDALL,Greg Abbott,5392,5903,91,Governor
KENEDY,Greg Abbott,17,17,100,Governor
KENT,Greg Abbott,97,108,90,Governor
KERR,Greg Abbott,7962,8801,90,Governor
KIMBLE,Greg Abbott,970,1089,89,Governor
KING,Greg Abbott,74,76,97,Governor
KINNEY,Greg Abbott,290,324,90,Governor
KLEBERG,Greg Abbott,812,880,92,Governor
KNOX,Greg Abbott,437,481,91,Governor
LAMAR,Greg Abbott,4975,5421,92,Governor
LAMB,Greg Abbott,1236,1382,89,Governor
LAMPASAS,Greg Abbott,2257,2492,91,Governor
LA SALLE,Greg Abbott,7,7,100,Governor
LAVACA,Greg Abbott,2189,2336,94,Governor
LEE,Greg Abbott,1054,1134,93,Governor
LEON,Greg Abbott,2491,2699,92,Governor
LIBERTY,Greg Abbott,6142,6648,92,Governor
LIMESTONE,Greg Abbott,2099,2278,92,Governor
LIPSCOMB,Greg Abbott,526,617,85,Governor
LIVE OAK,Greg Abbott,775,803,97,Governor
LLANO,Greg Abbott,3603,4006,90,Governor
LOVING,Greg Abbott,8,10,80,Governor
LUBBOCK,Greg Abbott,20564,22497,91,Governor
LYNN,Greg Abbott,828,1023,81,Governor
MADISON,Greg Abbott,1447,1684,86,Governor
MARION,Greg Abbott,595,663,90,Governor
MARTIN,Greg Abbott,675,780,87,Governor
MASON,Greg Abbott,1000,1111,90,Governor
MATAGORDA,Greg Abbott,1632,1747,93,Governor
MAVERICK,Greg Abbott,62,79,78,Governor
MCCULLOCH,Greg Abbott,1412,1619,87,Governor
MCLENNAN,Greg Abbott,10498,11076,95,Governor
MCMULLEN,Greg Abbott,147,165,89,Governor
MEDINA,Greg Abbott,3830,4135,93,Governor
MENARD,Greg Abbott,418,483,87,Governor
MIDLAND,Greg Abbott,11746,12641,93,Governor
MILAM,Greg Abbott,2239,2522,89,Governor
MILLS,Greg Abbott,719,787,91,Governor
MITCHELL,Greg Abbott,656,729,90,Governor
MONTAGUE,Greg Abbott,2589,2890,90,Governor
MONTGOMERY,Greg Abbott,39574,42230,94,Governor
MOORE,Greg Abbott,1181,1339,88,Governor
MORRIS,Greg Abbott,541,596,91,Governor
MOTLEY,Greg Abbott,197,204,97,Governor
NACOGDOCHES,Greg Abbott,5236,5671,92,Governor
NAVARRO,Greg Abbott,3941,4315,91,Governor
NEWTON,Greg Abbott,447,475,94,Governor
NOLAN,Greg Abbott,1043,1123,93,Governor
NUECES,Greg Abbott,11541,12399,93,Governor
OCHILTREE,Greg Abbott,904,988,91,Governor
OLDHAM,Greg Abbott,367,418,88,Governor
ORANGE,Greg Abbott,7493,8092,93,Governor
PALO PINTO,Greg Abbott,2721,2981,91,Governor
PANOLA,Greg Abbott,3096,3438,90,Governor
PARKER,Greg Abbott,11705,12741,92,Governor
PARMER,Greg Abbott,750,837,90,Governor
PECOS,Greg Abbott,610,655,93,Governor
POLK,Greg Abbott,5019,5672,88,Governor
POTTER,Greg Abbott,6263,7127,88,Governor
PRESIDIO,Greg Abbott,15,16,94,Governor
RAINS,Greg Abbott,1100,1189,93,Governor
RANDALL,Greg Abbott,12413,13535,92,Governor
REAGAN,Greg Abbott,268,296,91,Governor
REAL,Greg Abbott,768,922,83,Governor
RED RIVER,Greg Abbott,1350,1508,90,Governor
REEVES,Greg Abbott,0,0,0,Governor
REFUGIO,Greg Abbott,554,633,88,Governor
ROBERTS,Greg Abbott,286,315,91,Governor
ROBERTSON,Greg Abbott,1236,1312,94,Governor
ROCKWALL,Greg Abbott,7506,8103,93,Governor
