COUNTY,CANDIDATE,VOTES,TOTAL,PCT
WARD,"Richard ""Kinky"" Friedman",165,492,34
WASHINGTON,"Richard ""Kinky"" Friedman",107,338,32
WEBB,"Richard ""Kinky"" Friedman",10118,21821,46
WHARTON,"Richard ""Kinky"" Friedman",141,432,33
WHEELER,"Richard ""Kinky"" Friedman",13,38,34
WICHITA,"Richard ""Kinky"" Friedman",343,1202,29
WILBARGER,"Richard ""Kinky"" Friedman",187,459,41
WILLACY,"Richard ""Kinky"" Friedman",986,2270,43
WILLIAMSON,"Richard ""Kinky"" Friedman",2284,6690,34
WILSON,"Richard ""Kinky"" Friedman",390,1058,37
WINKLER,"Richard ""Kinky"" Friedman",8,20,40
WISE,"Richard ""Kinky"" Friedman",211,575,37
WOOD,"Richard ""Kinky"" Friedman",118,393,30
YOAKUM,"Richard ""Kinky"" Friedman",0,0,0
YOUNG,"Richard ""Kinky"" Friedman",52,151,34
ZAPATA,"Richard ""Kinky"" Friedman",568,1348,42
ZAVALA,"Richard ""Kinky"" Friedman",359,995,36
ANDERSON,Steve Brown,374,620,60
ANDREWS,Steve Brown,46,67,69
ANGELINA,Steve Brown,622,856,73
ARANSAS,Steve Brown,155,267,58
ARCHER,Steve Brown,24,54,44
ARMSTRONG,Steve Brown,0,0,0
ATASCOSA,Steve Brown,524,723,72
AUSTIN,Steve Brown,106,157,68
BAILEY,Steve Brown,19,29,66
BANDERA,Steve Brown,131,220,60
BASTROP,Steve Brown,988,1563,63
BAYLOR,Steve Brown,13,25,52
BEE,Steve Brown,517,976,53
BELL,Steve Brown,1568,2381,66
BEXAR,Steve Brown,27239,37213,73
BLANCO,Steve Brown,95,145,66
BORDEN,Steve Brown,0,0,0
BOSQUE,Steve Brown,116,232,50
BOWIE,Steve Brown,163,279,58
BRAZORIA,Steve Brown,1776,2625,68
BRAZOS,Steve Brown,1209,1713,71
BREWSTER,Steve Brown,723,1045,69
BRISCOE,Steve Brown,9,17,53
BROOKS,Steve Brown,772,1390,56
BROWN,Steve Brown,103,183,56
BURLESON,Steve Brown,160,215,74
BURNET,Steve Brown,268,446,60
CALDWELL,Steve Brown,1071,1657,65
CALHOUN,Steve Brown,846,1402,60
CALLAHAN,Steve Brown,0,0,0
CAMERON,Steve Brown,7908,13034,61
CAMP,Steve Brown,93,175,53
CARSON,Steve Brown,35,52,67
CASS,Steve Brown,381,582,65
CASTRO,Steve Brown,57,77,74
CHAMBERS,Steve Brown,181,288,63
CHEROKEE,Steve Brown,287,403,71
CHILDRESS,Steve Brown,28,45,62
CLAY,Steve Brown,38,80,48
COCHRAN,Steve Brown,0,0,0
COKE,Steve Brown,11,22,50
COLEMAN,Steve Brown,42,65,65
COLLIN,Steve Brown,4865,7552,64
COLLINGSWORTH,Steve Brown,0,0,0
COLORADO,Steve Brown,117,202,58
COMAL,Steve Brown,999,1481,67
COMANCHE,Steve Brown,88,146,60
CONCHO,Steve Brown,14,21,67
COOKE,Steve Brown,133,239,56
CORYELL,Steve Brown,170,362,47
COTTLE,Steve Brown,15,34,44
CRANE,Steve Brown,52,79,66
CROCKETT,Steve Brown,286,438,65
CROSBY,Steve Brown,244,344,71
CULBERSON,Steve Brown,237,352,67
DALLAM,Steve Brown,0,0,0
DALLAS,Steve Brown,35313,53031,67
DAWSON,Steve Brown,227,286,79
DEAF SMITH,Steve Brown,25,49,51
DELTA,Steve Brown,55,83,66
DENTON,Steve Brown,4489,6382,70
DE WITT,Steve Brown,106,141,75
DICKENS,Steve Brown,0,0,0
DIMMIT,Steve Brown,1068,1786,60
DONLEY,Steve Brown,11,19,58
DUVAL,Steve Brown,1111,2126,52
EASTLAND,Steve Brown,68,127,54
ECTOR,Steve Brown,797,1222,65
EDWARDS,Steve Brown,53,84,63
ELLIS,Steve Brown,1131,1862,61
EL PASO,Steve Brown,14455,24172,60
ERATH,Steve Brown,102,230,44
FALLS,Steve Brown,125,212,59
FANNIN,Steve Brown,226,388,58
FAYETTE,Steve Brown,183,299,61
FISHER,Steve Brown,274,448,61
FLOYD,Steve Brown,16,29,55
FOARD,Steve Brown,28,93,30
FORT BEND,Steve Brown,6270,7729,81
FRANKLIN,Steve Brown,49,82,60
FREESTONE,Steve Brown,166,297,56
FRIO,Steve Brown,755,1324,57
GAINES,Steve Brown,37,63,59
GALVESTON,Steve Brown,2656,3647,73
GARZA,Steve Brown,12,25,48
GILLESPIE,Steve Brown,152,273,56
GLASSCOCK,Steve Brown,0,0,0
GOLIAD,Steve Brown,195,291,67
GONZALES,Steve Brown,137,172,80
GRAY,Steve Brown,43,70,61
GRAYSON,Steve Brown,635,1005,63
GREGG,Steve Brown,963,1601,60
GRIMES,Steve Brown,170,235,72
GUADALUPE,Steve Brown,1109,1528,73
HALE,Steve Brown,90,169,53
HALL,Steve Brown,43,59,73
HAMILTON,Steve Brown,54,130,42
HANSFORD,Steve Brown,0,0,0
HARDEMAN,Steve Brown,34,63,54
HARDIN,Steve Brown,245,444,55
HARRIS,Steve Brown,30297,44966,67
HARRISON,Steve Brown,681,1101,62
HARTLEY,Steve Brown,0,0,0
HASKELL,Steve Brown,103,177,58
HAYS,Steve Brown,1921,2712,71
HEMPHILL,Steve Brown,10,17,59
HENDERSON,Steve Brown,508,906,56
HIDALGO,Steve Brown,17873,29666,60
HILL,Steve Brown,210,387,54
HOCKLEY,Steve Brown,70,119,59
HOOD,Steve Brown,278,567,49
HOPKINS,Steve Brown,280,421,67
HOUSTON,Steve Brown,133,231,58
HOWARD,Steve Brown,115,205,56
HUDSPETH,Steve Brown,182,325,56
HUNT,Steve Brown,395,622,64
HUTCHINSON,Steve Brown,85,137,62
IRION,Steve Brown,16,20,80
JACK,Steve Brown,36,64,56
JACKSON,Steve Brown,60,111,54
JASPER,Steve Brown,490,748,66
JEFF DAVIS,Steve Brown,198,291,68
JEFFERSON,Steve Brown,6005,9137,66
JIM HOGG,Steve Brown,496,1406,35
JIM WELLS,Steve Brown,2253,3526,64
JOHNSON,Steve Brown,641,1155,55
JONES,Steve Brown,87,133,65
KARNES,Steve Brown,942,1233,76
KAUFMAN,Steve Brown,583,1031,57
KENDALL,Steve Brown,192,291,66
KENEDY,Steve Brown,34,53,64
KENT,Steve Brown,57,111,51
KERR,Steve Brown,313,477,66
KIMBLE,Steve Brown,0,0,0
KING,Steve Brown,1,2,50
KINNEY,Steve Brown,190,304,63
KLEBERG,Steve Brown,1090,1670,65
KNOX,Steve Brown,33,60,55
LAMAR,Steve Brown,283,551,51
LAMB,Steve Brown,55,84,65
LAMPASAS,Steve Brown,66,167,40
LA SALLE,Steve Brown,399,721,55
LAVACA,Steve Brown,168,241,70
LEE,Steve Brown,189,257,74
LEON,Steve Brown,77,127,61
LIBERTY,Steve Brown,324,509,64
LIMESTONE,Steve Brown,181,304,60
LIPSCOMB,Steve Brown,7,14,50
LIVE OAK,Steve Brown,55,99,56
LLANO,Steve Brown,239,388,62
LOVING,Steve Brown,7,10,70
LUBBOCK,Steve Brown,2045,3590,57
LYNN,Steve Brown,0,0,0
MADISON,Steve Brown,72,101,71
MARION,Steve Brown,141,209,67
MARTIN,Steve Brown,18,27,67
MASON,Steve Brown,33,57,58
MATAGORDA,Steve Brown,781,1121,70
MAVERICK,Steve Brown,1909,3021,63
MCCULLOCH,Steve Brown,0,0,0
MCLENNAN,Steve Brown,1400,1986,70
MCMULLEN,Steve Brown,0,0,0
MEDINA,Steve Brown,307,456,67
MENARD,Steve Brown,7,17,41
MIDLAND,Steve Brown,481,871,55
MILAM,Steve Brown,164,370,44
MILLS,Steve Brown,0,0,0
MITCHELL,Steve Brown,54,90,60
MONTAGUE,Steve Brown,50,90,56
MONTGOMERY,Steve Brown,1474,2149,69
MOORE,Steve Brown,0,0,0
MORRIS,Steve Brown,528,785,67
MOTLEY,Steve Brown,7,12,58
NACOGDOCHES,Steve Brown,332,601,55
NAVARRO,Steve Brown,342,498,69
NEWTON,Steve Brown,620,922,67
NOLAN,Steve Brown,190,305,62
NUECES,Steve Brown,3866,6179,63
OCHILTREE,Steve Brown,9,15,60
OLDHAM,Steve Brown,0,0,0
ORANGE,Steve Brown,729,1232,59
PALO PINTO,Steve Brown,180,312,58
PANOLA,Steve Brown,141,221,64
PARKER,Steve Brown,651,1216,54
PARMER,Steve Brown,19,27,70
PECOS,Steve Brown,346,494,70
POLK,Steve Brown,303,449,67
POTTER,Steve Brown,411,741,55
PRESIDIO,Steve Brown,561,784,72
RAINS,Steve Brown,64,101,63
RANDALL,Steve Brown,463,836,55
REAGAN,Steve Brown,5,9,56
REAL,Steve Brown,8,14,57
RED RIVER,Steve Brown,168,258,65
REEVES,Steve Brown,696,1075,65
REFUGIO,Steve Brown,165,222,74
ROBERTS,Steve Brown,0,0,0
ROBERTSON,Steve Brown,867,1379,63
ROCKWALL,Steve Brown,542,864,63
RUNNELS,Steve Brown,23,40,58
RUSK,Steve Brown,227,328,69
SABINE,Steve Brown,69,140,49
SAN AUGUSTINE,Steve Brown,167,307,54
SAN JACINTO,Steve Brown,313,560,56
SAN PATRICIO,Steve Brown,645,1353,48
SAN SABA,Steve Brown,0,0,0
SCHLEICHER,Steve Brown,97,133,73
SCURRY,Steve Brown,58,91,64
SHACKELFORD,Steve Brown,0,0,0
SHELBY,Steve Brown,254,390,65
SHERMAN,Steve Brown,4,11,36
SMITH,Steve Brown,1127,1921,59
SOMERVELL,Steve Brown,19,40,48
STARR,Steve Brown,1592,3317,48
STEPHENS,Steve Brown,25,49,51
STERLING,Steve Brown,3,3,100
STONEWALL,Steve Brown,108,171,63
SUTTON,Steve Brown,16,26,62
SWISHER,Steve Brown,275,408,67
TARRANT,Steve Brown,20274,33424,61
TAYLOR,Steve Brown,524,887,59
TERRELL,Steve Brown,63,89,71
TERRY,Steve Brown,64,106,60
THROCKMORTON,Steve Brown,0,0,0
TITUS,Steve Brown,209,402,52
TOM GREEN,Steve Brown,523,856,61
TRAVIS,Steve Brown,25095,37513,67
TRINITY,Steve Brown,195,314,62
TYLER,Steve Brown,202,307,66
UPSHUR,Steve Brown,157,249,63
UPTON,Steve Brown,222,307,72
UVALDE,Steve Brown,999,1438,69
VAL VERDE,Steve Brown,2935,4801,61
VAN ZANDT,Steve Brown,246,428,57
VICTORIA,Steve Brown,708,1221,58
WALKER,Steve Brown,455,691,66
WALLER,Steve Brown,497,754,66
WARD,Steve Brown,318,472,67
WASHINGTON,Steve Brown,227,319,71
WEBB,Steve Brown,10104,20858,48
WHARTON,Steve Brown,279,424,66
WHEELER,Steve Brown,25,36,69
WICHITA,Steve Brown,709,1147,62
WILBARGER,Steve Brown,273,435,63
WILLACY,Steve Brown,1303,2186,60
WILLIAMSON,Steve Brown,4118,6266,66
WILSON,Steve Brown,626,1027,61
WINKLER,Steve Brown,19,23,83
WISE,Steve Brown,330,554,60
WOOD,Steve Brown,184,379,49
YOAKUM,Steve Brown,0,0,0
YOUNG,Steve Brown,80,137,58
ZAPATA,Steve Brown,728,1317,55
ZAVALA,Steve Brown,507,917,55
