COUNTY,CANDIDATE,VOTES,TOTAL,PCT
TERRELL,Kesha Rogers,27,83,33
TERRY,Kesha Rogers,36,99,36
THROCKMORTON,Kesha Rogers,0,0,0
TITUS,Kesha Rogers,112,407,28
TOM GREEN,Kesha Rogers,154,870,18
TRAVIS,Kesha Rogers,4640,40393,11
TRINITY,Kesha Rogers,93,354,26
TYLER,Kesha Rogers,91,315,29
UPSHUR,Kesha Rogers,62,259,24
UPTON,Kesha Rogers,93,297,31
UVALDE,Kesha Rogers,330,1515,22
VAL VERDE,Kesha Rogers,1022,5113,20
VAN ZANDT,Kesha Rogers,109,432,25
VICTORIA,Kesha Rogers,225,1273,18
WALKER,Kesha Rogers,163,714,23
WALLER,Kesha Rogers,269,785,34
WARD,Kesha Rogers,127,483,26
WASHINGTON,Kesha Rogers,70,334,21
WEBB,Kesha Rogers,4321,21962,20
WHARTON,Kesha Rogers,91,431,21
WHEELER,Kesha Rogers,9,36,25
WICHITA,Kesha Rogers,264,1198,22
WILBARGER,Kesha Rogers,109,425,26
WILLACY,Kesha Rogers,435,2334,19
WILLIAMSON,Kesha Rogers,1277,6680,19
WILSON,Kesha Rogers,174,1116,16
WINKLER,Kesha Rogers,7,23,30
WISE,Kesha Rogers,118,575,21
WOOD,Kesha Rogers,93,385,24
YOAKUM,Kesha Rogers,0,0,0
YOUNG,Kesha Rogers,36,144,25
ZAPATA,Kesha Rogers,164,1458,11
ZAVALA,Kesha Rogers,205,1158,18
ANDERSON,Wendy Davis,627,685,92
ANDREWS,Wendy Davis,51,72,71
ANGELINA,Wendy Davis,789,907,87
ARANSAS,Wendy Davis,278,312,89
ARCHER,Wendy Davis,54,59,92
ARMSTRONG,Wendy Davis,0,0,0
ATASCOSA,Wendy Davis,537,832,65
AUSTIN,Wendy Davis,158,178,89
BAILEY,Wendy Davis,26,38,68
BANDERA,Wendy Davis,229,243,94
BASTROP,Wendy Davis,1613,1754,92
BAYLOR,Wendy Davis,22,32,69
BEE,Wendy Davis,420,1143,37
BELL,Wendy Davis,2319,2617,89
BEXAR,Wendy Davis,35578,41664,85
BLANCO,Wendy Davis,159,166,96
BORDEN,Wendy Davis,0,0,0
BOSQUE,Wendy Davis,243,271,90
BOWIE,Wendy Davis,260,300,87
BRAZORIA,Wendy Davis,2601,2839,92
BRAZOS,Wendy Davis,1734,1926,90
BREWSTER,Wendy Davis,841,1318,64
BRISCOE,Wendy Davis,17,20,85
BROOKS,Wendy Davis,552,1594,35
BROWN,Wendy Davis,180,208,87
BURLESON,Wendy Davis,202,229,88
BURNET,Wendy Davis,458,486,94
CALDWELL,Wendy Davis,1381,2024,68
CALHOUN,Wendy Davis,1026,1652,62
CALLAHAN,Wendy Davis,0,0,0
CAMERON,Wendy Davis,8514,15747,54
CAMP,Wendy Davis,171,193,89
CARSON,Wendy Davis,48,57,84
CASS,Wendy Davis,514,646,80
CASTRO,Wendy Davis,60,81,74
CHAMBERS,Wendy Davis,268,297,90
CHEROKEE,Wendy Davis,396,435,91
CHILDRESS,Wendy Davis,36,47,77
CLAY,Wendy Davis,76,92,83
COCHRAN,Wendy Davis,0,0,0
COKE,Wendy Davis,21,24,88
COLEMAN,Wendy Davis,60,69,87
COLLIN,Wendy Davis,9030,9441,96
COLLINGSWORTH,Wendy Davis,0,0,0
COLORADO,Wendy Davis,195,230,85
COMAL,Wendy Davis,1516,1646,92
COMANCHE,Wendy Davis,150,173,87
CONCHO,Wendy Davis,22,23,96
COOKE,Wendy Davis,252,273,92
CORYELL,Wendy Davis,335,386,87
COTTLE,Wendy Davis,24,40,60
CRANE,Wendy Davis,50,84,60
CROCKETT,Wendy Davis,256,597,43
CROSBY,Wendy Davis,236,413,57
CULBERSON,Wendy Davis,205,453,45
DALLAM,Wendy Davis,0,0,0
DALLAS,Wendy Davis,59649,64533,92
DAWSON,Wendy Davis,146,316,46
DEAF SMITH,Wendy Davis,40,61,66
DELTA,Wendy Davis,78,86,91
DENTON,Wendy Davis,6757,7079,95
DE WITT,Wendy Davis,143,155,92
DICKENS,Wendy Davis,0,0,0
DIMMIT,Wendy Davis,1060,2187,48
DONLEY,Wendy Davis,19,21,90
DUVAL,Wendy Davis,1114,2604,43
EASTLAND,Wendy Davis,118,141,84
ECTOR,Wendy Davis,907,1320,69
EDWARDS,Wendy Davis,65,118,55
ELLIS,Wendy Davis,1897,2072,92
EL PASO,Wendy Davis,19753,28474,69
ERATH,Wendy Davis,233,256,91
FALLS,Wendy Davis,194,228,85
FANNIN,Wendy Davis,353,406,87
FAYETTE,Wendy Davis,290,347,84
FISHER,Wendy Davis,365,543,67
FLOYD,Wendy Davis,20,33,61
FOARD,Wendy Davis,57,88,65
FORT BEND,Wendy Davis,7745,8331,93
FRANKLIN,Wendy Davis,80,90,89
FREESTONE,Wendy Davis,283,327,87
FRIO,Wendy Davis,796,1705,47
GAINES,Wendy Davis,45,66,68
GALVESTON,Wendy Davis,3969,4328,92
GARZA,Wendy Davis,22,27,81
GILLESPIE,Wendy Davis,307,320,96
GLASSCOCK,Wendy Davis,0,0,0
GOLIAD,Wendy Davis,214,362,59
GONZALES,Wendy Davis,158,250,63
GRAY,Wendy Davis,75,81,93
GRAYSON,Wendy Davis,1025,1113,92
GREGG,Wendy Davis,1744,1953,89
GRIMES,Wendy Davis,222,250,89
GUADALUPE,Wendy Davis,1502,1688,89
HALE,Wendy Davis,128,179,72
HALL,Wendy Davis,51,64,80
HAMILTON,Wendy Davis,140,157,89
HANSFORD,Wendy Davis,0,0,0
HARDEMAN,Wendy Davis,59,75,79
HARDIN,Wendy Davis,423,483,88
HARRIS,Wendy Davis,47372,51397,92
HARRISON,Wendy Davis,1070,1221,88
HARTLEY,Wendy Davis,0,0,0
HASKELL,Wendy Davis,158,207,76
HAYS,Wendy Davis,2954,3131,94
HEMPHILL,Wendy Davis,19,20,95
HENDERSON,Wendy Davis,922,1000,92
HIDALGO,Wendy Davis,16994,35901,47
HILL,Wendy Davis,375,431,87
HOCKLEY,Wendy Davis,96,130,74
HOOD,Wendy Davis,598,625,96
HOPKINS,Wendy Davis,407,465,88
HOUSTON,Wendy Davis,229,252,91
HOWARD,Wendy Davis,181,222,82
HUDSPETH,Wendy Davis,172,399,43
HUNT,Wendy Davis,664,718,92
HUTCHINSON,Wendy Davis,120,146,82
IRION,Wendy Davis,17,21,81
JACK,Wendy Davis,63,71,89
JACKSON,Wendy Davis,102,134,76
JASPER,Wendy Davis,598,825,72
JEFF DAVIS,Wendy Davis,268,410,65
JEFFERSON,Wendy Davis,9322,10623,88
JIM HOGG,Wendy Davis,607,1574,39
JIM WELLS,Wendy Davis,1706,4197,41
JOHNSON,Wendy Davis,1169,1279,91
JONES,Wendy Davis,118,137,86
KARNES,Wendy Davis,738,1398,53
